DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,artificial,1-word phrase,2175,2452,89%,He concluded his adddress by expecting that everyone has to focus on achieving higher user satisfaction and incorporating artificial intelligence/machine learning in all our systems and technologies,251962
,phrase,machine,1-word phrase,681,895,76%,He concluded his adddress by expecting that everyone has to focus on achieving higher user satisfaction and incorporating artificial intelligence/machine learning in all our systems and technologies,251962
,phrase,emerging technologies,2-word phrase,659,939,70%,This web portal has been developed utilizing open-source software and emerging technologies such as AI/ML,252066
,phrase,powered,1-word phrase,608,981,62%,"It has been prescribed that the safety and procedural requirements for type approval of internal combustion engine vehicles of M and N categories powered by liquid or compressed gaseous hydrogen shall be in accordance with AIS 195:2023, til",252096
,phrase,computing,1-word phrase,488,633,77%,"You have to address artificial intelligence, internet of things, machine learning and that is why you have to keep in mind that India is one of the few countries in single digit who have taken initiative with respect to Quantum computing",252131
,phrase,meity,1-word phrase,436,688,63%,"Secretary, MeitY launches ERNET India’s web portal for domain registration, DNS and value-added services for educational institutions Ministry of Electronics & Information Technology (MeitY) Secretary Shri S Krishnan launched ERNET India’s ",252066
,phrase,digital public,2-word phrase,433,673,64%,"India's commanding presence is marked by securing four distinct spaces at WEF, each dedicated to illuminating the India Opportunity and unfolding its Growth Story to the global investors: • India Engagement Centre : This lounge will unfold ",252444
,phrase,public infrastructure,2-word phrase,422,691,61%,"India's commanding presence is marked by securing four distinct spaces at WEF, each dedicated to illuminating the India Opportunity and unfolding its Growth Story to the global investors: • India Engagement Centre : This lounge will unfold ",252444
,phrase,cybersecurity,1-word phrase,402,509,79%,C-DOT can be a part of defence indigenization and can indeed play a great role in transforming telecom & Cybersecurity in defence sector”,252833
,phrase,digital public infrastructure,3-word phrase,397,614,65%,"India's commanding presence is marked by securing four distinct spaces at WEF, each dedicated to illuminating the India Opportunity and unfolding its Growth Story to the global investors: • India Engagement Centre : This lounge will unfold ",252444
,phrase,iot,1-word phrase,341,403,85%,"of Kerala to catalyze the development of sensors within the realm of Intelligent IoT systems covering a broad spectrum of applications of intelligent sensors in networks, devices and sensor systems",252483
,phrase,cyber security,2-word phrase,334,531,63%,Government is fully committed towards creating a cyber- safe country as cyber security has become an essential aspect of all security related matters globally,252032
,phrase,semiconductor,1-word phrase,327,545,60%,"Apart from the several disruptive programs such as creation of incubation centres, INSPIRE program; NM-ICPS, international bilateral programme centers and several programmes of SERB, we may start some major programmes in areas such as preci",252052
,phrase,robotics,1-word phrase,325,374,87%,"The exciting areas, such as space exploration, green energy, artificial intelligence (AI), and robotics spark interest among the youths",252359
,phrase,semiconductors,1-word phrase,325,464,70%,"Subsequently, the Indian side has suggested few sectors such as- Electronics and semiconductors, Machine Tools, Automotive components, Smart Technologies and Renewable Energy for the 3 rd India-Taiwan SME Cooperation Forum to be hosted by T",252021
,phrase,impact summit,2-word phrase,324,324,100%,"9 th India Water Impact Summit: The 9 th India Water Impact Summit (IWIS) & 2 nd Climate Investments and Technology Impact Summit were organised jointly by NMCG & c-Ganga from 4 th to 6 th December 2024 at Bharat Mandapam, New Delhi",266498
,phrase,multilingual,1-word phrase,317,433,73%,"The NEP-2020 strongly conveys the idea that multilingual nature of Bharat is its huge asset and strength which needs to be utilized efficiently for the socio-cultural, economic and educational development of the Nation",252575
,phrase,automation,1-word phrase,305,451,68%,"Discussions were held about key topics related to food industry, including importance of automation and AI in transforming the global food industry, future trends including Smart and green production, the importance of food safety, best pra",252021
,phrase,cloud,1-word phrase,280,406,69%,"The advantage of using microwave data is that the images are not affected by cloud cover, and we get images of the reservoirs near FRL during monsoon season as well (which is relatively difficult with optical imageries as when the reservoir",252049
,phrase,technology meity,2-word phrase,272,439,62%,,
,phrase,datasets,1-word phrase,245,333,74%,"AI based analytics using field photographs for crop health assessment and crop health monitoring using Satellite, weather & soil moisture datasets for rice and wheat crop",253044
,phrase,use cases,2-word phrase,232,294,79%,"She used this opportunity to showcase some of the best use cases of PM GatiShakti in sectors including telecom, petroleum and natural gas, renewable energy, area based planning, etc",252251
,phrase,technologies like,2-word phrase,231,353,65%,"REC Limited, a Maharatna Central Public Sector Enterprise established in 1969, under Ministry of Power, provides long-term loans and other finance products for Power-Infrastructure sector comprising Generation, Transmission, Distribution, R",252068
,phrase,quantum computing,2-word phrase,223,285,78%,"You have to address artificial intelligence, internet of things, machine learning and that is why you have to keep in mind that India is one of the few countries in single digit who have taken initiative with respect to Quantum computing",252131
,phrase,deep tech,2-word phrase,215,307,70%,"This deep tech initiative ensures that future systems meet the performance requirements driven by increased digitization for consumers, enterprises, and governments worldwide",252710
,phrase,india’s digital,2-word phrase,214,345,62%,"Mr Gilles Thonet, Deputy Secretary General IEC and Ms Mara Rolando, Head of PMO, ISO talked about IEC & ISO Strategies and Digital Transformation in their Theme Address and observed that there is tremendous potential to learn from India’s d",252602
,phrase,digital technologies,2-word phrase,200,315,63%,"This initiative emphasizes the commitment to leveraging digital technologies to enhance access to online services in crucial sectors such as health, education and skilling, thereby elevating the quality of life in rural areas",253649
,phrase,privacy,1-word phrase,196,305,64%,"He stressed that the Citizen identity management and family as a unit for service delivery- besides the data management, service guarantee and maintaining the user privacy- could result in much better results",252077
,phrase,internet of things,3-word phrase,188,205,92%,"You have to address artificial intelligence, internet of things, machine learning and that is why you have to keep in mind that India is one of the few countries in single digit who have taken initiative with respect to Quantum computing",252131
,phrase,digital economy,2-word phrase,180,282,64%,""" In a testament to India's digital revolution, Prime Minister Modi highlighted the exponential growth of the digital economy and its profound impact on the youth",252776
,phrase,stack,1-word phrase,170,264,64%,"The Trade Show will spotlight ‘TECHADE and Disruptive Technologies’ and feature the Champion Services Sector, emphasizing Digital India initiatives, India Stack, and Emerging Technologies including Industry 4",252141
,phrase,interoperable,1-word phrase,168,262,64%,Digital initiatives taken up in agricultural extension include; VISTAAR - Virtually integrated Systems To Access Agricultural Resourcs being developed as a DPI for Agriculture Extension Apurva AI- Capturing farmer innovations- Acts as a pee,253045
,phrase,academia industry,2-word phrase,165,258,64%,"The session on additive manufacturing focused on materials and process qualification, shared prototyping and validation infrastructure, and pathways for industrial scale up, with emphasis on industry defined problem statements and stronger ",284807
,phrase,decision support,2-word phrase,163,247,66%,“Consultancy Services for Development of Decision Support System near to real time for Integrated Reservoir Operation System of Ganga Basin”: The Development Phase has been completed and Testing Phase is in progress,252049
,phrase,digital health,2-word phrase,163,271,60%,Digital Health IDs of around 53 crore people have been created under Ayushman Bharat Health Account,252872
,phrase,hackathon,1-word phrase,162,235,69%,Hon’ble Minister (MSME) announced the winners of ‘MSME Idea Hackathon-2,252021
,phrase,iit madras,2-word phrase,159,261,61%,"IIT Tirupati started functioning with the support of its mentoring institute, IIT Madras, in the academic year of 2015-16",254038
,phrase,digital ecosystem,2-word phrase,153,235,65%,It is championing the India Digital Ecosystem Architecture (InDEA) 2,252478
,phrase,prediction,1-word phrase,153,232,66%,"“Extended Hydrological Prediction (multi week forecast) for Yamuna, Narmada and Cauvery basins: Phase I (Inception Report), Phase II (Submission and approval of Input Data Development Report), Phase III (Model development for Low flow seaso",252049
,phrase,chip,1-word phrase,143,228,63%,The base of the tractor depicts an enhanced 3D scale model of a semiconductor chip which is required in almost every electronic item,252675
,phrase,classrooms,1-word phrase,143,226,63%,"In addition, ERNET India is providing web accessibility service, campus Wi-Fi services, smart classrooms and connectivity through Terrestrial and Satellite based systems to the educational & research institutes in the country",252066
,phrase,msz,1-word phrase,140,209,67%,***** MSZ,278974
,phrase,dpi,1-word phrase,137,205,67%,Digital initiatives taken up in agricultural extension include; VISTAAR - Virtually integrated Systems To Access Agricultural Resourcs being developed as a DPI for Agriculture Extension Apurva AI- Capturing farmer innovations- Acts as a pee,253045
,phrase,digital innovation,2-word phrase,128,205,62%,"“Digital innovation will play an important part in the next decade for governance to transform India into a digitally empowered society and knowledge economy,” he said",253866
,phrase,emerging areas,2-word phrase,128,185,69%,"These futureSKILLS are needed in emerging areas like semiconductors, Al, Electronics, HPC and cybersecurity among others",253798
,phrase,quantum technologies,2-word phrase,124,190,65%,"Professor Karandikar highlighted the success of the CEFIPRA model as a catalyst of Indo-French Collaboration and said that it could help step up research partnerships in new age technologies like ICPS, health, clean energy, AI, quantum tech",252541
,phrase,driven decision,2-word phrase,122,186,66%,"Recognizing the crucial role of PM GatiShakti in driving progress in various sectors, this seminar brought key stakeholders together to explore strategies and foster a culture of informed, data-driven decision-making for comprehensive and s",252251
,phrase,dashboards,1-word phrase,119,194,61%,"This Portal would function as a robust Management Information System (MIS) as a Data Entry tool to digitize and facilitate the work of Child Protection Functionaries thereby enabling greater transparency, dashboards for evidence-based plann",252592
,phrase,data driven decision,3-word phrase,118,181,65%,"Saurabh Garg, Secretary, MoSPI in his remarks highlighted the major initiatives towards reforming the National Statistical System which inter-alia include encouraging State participation in generation of district level estimates, revamping ",262320
,phrase,ready workforce,2-word phrase,118,186,63%,This will empower the youth of India to be future- ready workforce,257488
,phrase,apis,1-word phrase,116,175,66%,"In order to attain self-reliance, reduce import dependence and enhance supply chain resilience in the critical import dependent bulk drugs - Key Starting Materials (KSMs)/ Drug Intermediates and Active Pharmaceutical Ingredients (APIs) in t",254431
,phrase,digital divide,2-word phrase,116,169,69%,"Similarly, the National Education Policy gives adequate thrust to bridge the digital divide and create a uniform educational structure for the benefit of the underprivileged students",252724
,phrase,generative,1-word phrase,115,116,99%,"Shri Shankar Trivedi, Sr VP Nvidia noting the growing importance of generative AI recalled that PM Modi invited Mr",252223
,phrase,cameras,1-word phrase,114,181,63%,"Abhigyaan auditorium consists of excellent acoustics, smart interfaces, a large interactive data wall and three cameras with extensive features for live feed",252232
,phrase,driven decision making,3-word phrase,114,175,65%,"WAVES Hackathon: Adspend Optimizer Competition by Advertising Agencies Association of India aims to improve ROI, drive efficiency, foster data-driven decision making, promote innovation, and enhance consumer experience",258938
,phrase,open source,2-word phrase,112,141,79%,Digital initiatives taken up in agricultural extension include; VISTAAR - Virtually integrated Systems To Access Agricultural Resourcs being developed as a DPI for Agriculture Extension Apurva AI- Capturing farmer innovations- Acts as a pee,253045
,phrase,driven solutions,2-word phrase,110,176,62%,"Adoption of technology-driven solutions like SCADA for efficient water supply, sanitation etc",252516
,phrase,aws,1-word phrase,109,136,80%,"Serverless Architecture for Real-time Analysis: Some solutions are featuring a serverless setup using AWS Lambda and cross-encoder machine learning models, with Transformer",253862
,phrase,interfaces,1-word phrase,108,166,65%,"Abhigyaan auditorium consists of excellent acoustics, smart interfaces, a large interactive data wall and three cameras with extensive features for live feed",252232
,phrase,semiconductor mission,2-word phrase,108,158,68%,Giant leap for India Semiconductor Mission: Cabinet approves three more semiconductor units The Union Cabinet chaired by Prime Minister Shri Narendra Modi approved the establishment of three semiconductor units under ‘Development of Semicon,254305
,phrase,mausam,1-word phrase,105,175,60%,"Earth Day programme organized on 21 st April, 2023 Celebrated Rabindranath Jayanti on 9 th May, 2023 Member children visited to explore Mausam Bhavan on 2 nd June, 2023",252139
,phrase,microsoft,1-word phrase,105,127,83%,"In line with this objective, the summit will witness over 20 strategic collaborations between NIELIT and Intel, HCL, Microsoft, Kindryl, IIM Raipur, IIITM Gwalior, Wipro, and others",253726
,phrase,programming,1-word phrase,105,144,73%,The second phase would include an Advanced Block Programming and Artificial Intelligence curriculum,252227
,phrase,use of artificial,3-word phrase,105,113,93%,This is coupled with use of artificial intelligence (AI) for transcribing speech to text on a real time basis,252770
,phrase,high performance computing,3-word phrase,104,119,87%,"Companies like NXP Semiconductors, Tenstorrent and Qualcomm India have signed MoUs in areas like High Performance Computing space, Design & Innovation in Compute space and Indian Telecom Stack",253079
,phrase,infrastructure dpi,2-word phrase,104,162,64%,,
,phrase,performance computing,2-word phrase,104,119,87%,"Companies like NXP Semiconductors, Tenstorrent and Qualcomm India have signed MoUs in areas like High Performance Computing space, Design & Innovation in Compute space and Indian Telecom Stack",253079
,phrase,smarter,1-word phrase,104,164,63%,to make distributions systems smarter,251977
,phrase,public infrastructure dpi,3-word phrase,103,158,65%,,
,phrase,job roles,2-word phrase,99,149,66%,"Among Development programmes, the institute has organised about 22 workshops for development of on job roles in Virtual tour in Apparel Made Ups and Home Furnishing sector, development of Popularization Folders in Handicrafts and Carpet sec",252139
,phrase,digital learning,2-word phrase,98,159,62%,"While taking review he also enquired about the functioning of Digital learning lab at ISTM, New Delhi which was inaugurated by Dr",256100
,phrase,sensor,1-word phrase,98,155,63%,"In this remarkable mission, Central Tool Room & Training Centre (CTTC), Bhubaneswar under the Ministry has made its contribution by manufacturing different types of precision components like regulator, flow control valves, gyroscope, temper",252021
,phrase,decision support system,3-word phrase,97,151,64%,“Consultancy Services for Development of Decision Support System near to real time for Integrated Reservoir Operation System of Ganga Basin”: The Development Phase has been completed and Testing Phase is in progress,252049
,phrase,human centric,2-word phrase,96,134,72%,"Representatives from Australia, Japan, Namibia, Philippines, Germany, Brazil, showcased their respective experiences and learnings, while participants discussed strategies on empowering the youth to drive sustainable growth for enterprises,",267896
,phrase,secretary meity,2-word phrase,96,152,63%,"Speaking at the workshop Shri Abhishek Singh, Additional Secretary MeitY and CEO of IndiaAI Mission highlighted how Trust in AI can be built through Fairness, Transparency, and Accountability with diverse and inclusive data sets",270093
,phrase,computational,1-word phrase,95,130,73%,"India has witnessed a dvancements in computational technologies, platforms, services and high-speed connectivity",253772
,phrase,innovation hub,2-word phrase,94,154,61%,This initiative will make Thiruvananthapuram India’s next innovation hub,254856
,phrase,public good,2-word phrase,94,137,69%,Digital initiatives taken up in agricultural extension include; VISTAAR - Virtually integrated Systems To Access Agricultural Resourcs being developed as a DPI for Agriculture Extension Apurva AI- Capturing farmer innovations- Acts as a pee,253045
,phrase,data centres,2-word phrase,93,126,74%,"Also, PES University discussed innovative approaches to skill development through digital twins, and Readypods Technologies presented sustainable energy solutions for data centres",254860
,phrase,digital hub,2-word phrase,93,151,62%,"Moreover, the launch of the Skill India Digital Hub (SIDH) underscores the ministry’s commitment to leveraging technology for inclusive skilling, offering personalized learning opportunities, and enhancing accessibility to skill development",254960
,phrase,intelligence and machine,3-word phrase,92,92,100%,Technological advances like Artificial Intelligence and machine learning have moved from headlines into our daily lives at a breathtaking speed,252724
,phrase,trustworthy,1-word phrase,92,121,76%,"Guided by Hon’ble Prime Minister’s inclusive development philosophy encapsulated in ""Sabka Saath, Sabka Vikas, and Sabka Prayas,"" India as the lead chair for Global Partnership on Artificial Intelligence (GPAI) hosted the GPAI Annual Summit",252675
,phrase,data protection,2-word phrase,91,148,61%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,mission mausam,2-word phrase,91,124,73%,Cabinet approves 'Mission Mausam' to create a more weather-ready and climate-smart Bharat with an outlay of Rs,259581
,phrase,communication technology,2-word phrase,90,130,69%,"As incorporation of ICT (Information and Communication Technology) based learning is being increasingly adopted as the modern means of pedagogy today, CIL has entered into a MoU with EdCIL (India) Limited for ""Digitizing Education in eleven",252098
,phrase,frontier technologies,2-word phrase,87,110,79%,Atal Innovation Mission and Meta will partner to set up FTLs in schools of strategic importance to ensure that students from diverse backgrounds across India will have equal opportunities to learn and engage with frontier technologies,254557
,phrase,like artificial,2-word phrase,87,88,99%,"Expressing confidence in the potential and capability of the public sector, Shri Dhankhar exhorted the public sector to make full use of emerging and disruptive technologies like artificial intelligence and quantum computing",252525
,phrase,workflows,1-word phrase,87,135,64%,"The System Integrator will be responsible for studying the existing processes, proposing improved workflows, and providing design, development, customisation, implementation, and maintenance services for PFRDA-TRACE",252869
,phrase,algorithms,1-word phrase,86,108,80%,One of the key outcomes of this partnership will be the development of predictive analytics algorithms,255223
,phrase,cyber physical,2-word phrase,86,110,78%,"Abhay Karandikar, Secretary DST said that as India is a developing country, we still have many scientific areas which need to be strengthened further such as Renewable Energy, Waste to Energy, Electric Vehicles, Cyber Physical Systems, Quan",252599
,phrase,facial,1-word phrase,86,94,91%,ASTR (AI & Facial Recognition-powered Solution for Telecom SIM Subscriber Verification) is a game-changer in the fight against cyber crimes,254173
,phrase,ibm,1-word phrase,86,125,69%,"Sriram Raghavan, Vice President, IBM Research AI Moderator: Ms",253726
,phrase,democratizing,1-word phrase,85,114,75%,"By democratizing computing access, improving data quality, developing indigenous AI capabilities, attracting top AI talent, enabling industry collaboration, providing startup risk capital, ensuring socially impactful AI projects and bolster",254635
,phrase,itu,1-word phrase,85,123,69%,"The World Bank was invited to join the ‘AI for Good’ effort of ITU/UN, with a specific focus on the South Asian and African regions",252455
,phrase,dgt,1-word phrase,84,139,60%,"Trishaljit Sethi, DG, DGT-MSDE; Smt",254960
,phrase,krishnan secretary,2-word phrase,84,139,60%,"Krishnan Secretary for Minister of Information Electronics Technology, under the Gov",267708
,phrase,things iot,2-word phrase,84,96,88%,,
,phrase,emerging technology,2-word phrase,83,122,68%,"This significant milestone under the leadership of Hon’ble PM Narendra Modi has unleashed many opportunities for young Indians, particularly in emerging technology sectors where India is on the same starting line as the rest of the world",253798
,phrase,metering,1-word phrase,82,108,76%,Prepaid Smart metering is the critical intervention envisaged under RDSS with an estimated outlay of ~Rs,251977
,phrase,ai’s,1-word phrase,81,81,100%,India reiterates its commitment to harnessing AI’s transformative potential by prioritizing responsible AI development while safeguarding ethical standards and inclusivity,256597
,phrase,intelligence machine,2-word phrase,81,81,100%,,
,phrase,physical systems,2-word phrase,80,103,78%,"Abhay Karandikar, Secretary DST said that as India is a developing country, we still have many scientific areas which need to be strengthened further such as Renewable Energy, Waste to Energy, Electric Vehicles, Cyber Physical Systems, Quan",252599
,phrase,cyber threats,2-word phrase,79,127,62%,"World today is grappling as never before with existential challenges in the shape of multitude of complex issues - climate change, pandemics, terrorism, cyber threats, and organized disruption of global order on space, seas and land and mor",255096
,phrase,secure digital,2-word phrase,79,123,64%,DoT is committed to creating a secure digital environment for all,255717
,phrase,cyber physical systems,3-word phrase,78,99,79%,"Abhay Karandikar, Secretary DST said that as India is a developing country, we still have many scientific areas which need to be strengthened further such as Renewable Energy, Waste to Energy, Electric Vehicles, Cyber Physical Systems, Quan",252599
,phrase,global technology,2-word phrase,78,111,70%,"A Global Technology Exchange Programme, 2023 was organized in New Delhi to create business linkages between MSMEs of India and South Korea",252021
,phrase,industrial revolution,2-word phrase,78,115,68%,It is our endeavour that India remains at the forefront of the world in the fourth industrial revolution,252872
,phrase,reskilling,1-word phrase,78,110,71%,The Government has initiated ‘Future Skills PRIME’ aims for Reskilling/Up-skilling of IT Manpower for Employability in 10 new/emerging technologies,253145
,phrase,data privacy,2-word phrase,77,98,79%,"She said that issues related to data privacy, cybersecurity, and the ethical use of AI must be addressed through robust regulatory frameworks and international cooperation",257588
,phrase,end review,2-word phrase,77,114,68%,"Year End Review of Ministry of Power (up to November 2023) Transforming Power Sector: Government has transformed power sector from power-deficient to power-sufficient by adding 1,94,394 MW of generation capacity in the past 9 years",251977
,phrase,innovation across,2-word phrase,77,125,62%,"From smartphone to smart cities, from Artificial Intelligence to Virtual Reality, Semiconductor are the invisible force driving innovation across every sector",253798
,phrase,technological self,2-word phrase,77,121,64%,"Aligned with the broader vision of the IndiaAI Mission, these initiatives aim to bolster India’s global leadership in AI, foster technological self-reliance, ensure ethical and responsible AI deployment, and democratize the benefits of AI a",254645
,phrase,disruptive technologies,2-word phrase,76,111,68%,"He further stated that five Young Scientists Labs, that was started by DRDO in 2019, have now started to make an impact and is going to be our torch bearers in the emerging disruptive technologies",251962
,phrase,general of training,3-word phrase,76,123,62%,"MSDE has signed 19 MoUs with its various departments – one led by the Directorate General of Training (DGT), 3 MoUs signed by the National Institute for Entrepreneurship and Small Business Development (NIESBUD), 5 under the Pradhan Mantri K",254960
,phrase,iiit,1-word phrase,76,100,76%,"Minister Rajeev Chandrasekhar Inaugurates Digital India FutureLABS at IIIT in New Delhi Union Minister of State for Electronics and IT, Skill Development and Entrepreneurship, and Jal Shakti, Shri Rajeev Chandrasekhar launched the ""Digital ",253079
,phrase,semiconductor ecosystem,2-word phrase,76,113,67%,"As a logical expansion of this innovation ecosystem and a reimagining of our national ambitions, we have looked towards our Prime Minister, who has established a framework and investments to expand our semiconductor ecosystem",252710
,phrase,solutions across,2-word phrase,76,116,66%,"She also mentioned about AI tech solutions across diverse sectors like Transport, agriculture etc",254860
,phrase,technological self reliance,3-word phrase,76,117,65%,,
,phrase,digital future,2-word phrase,75,87,86%,"Tripathi, Director General of NIELIT, expressed the organization’s steadfast commitment to nurturing a skilled workforce prepared for the challenges and opportunities of the digital future",253726
,phrase,future skills,2-word phrase,75,86,87%,The Government has initiated ‘Future Skills PRIME’ aims for Reskilling/Up-skilling of IT Manpower for Employability in 10 new/emerging technologies,253145
,phrase,india's digital,2-word phrase,75,120,62%,"Emphasizing India's Digital Transformation, he underscored the importance of tech diplomacy for diversifying the supply chain, crucial for the growth of the ICT sector",252455
,phrase,atal tinkering,2-word phrase,74,123,60%,"Under Atal Innovation Mission, 10,000 Atal Tinkering Labs have been established to promote innovation",252872
,phrase,industry aligned,2-word phrase,74,112,66%,"India’s Live Event Industry Aligned with the Hon’ble Prime Minister’s vision of positioning the concert economy as a national growth driver, the Ministry of Information and Broadcasting has set up a Live Events Development Cell (LEDC)",281682
,phrase,sector skill,2-word phrase,74,119,62%,"36 Sector Skill Councils (SSCs), led by industry leaders in the respective sectors, have been set up by National Skill Development Corporation (NSDC) which are mandated to identify the skill development needs of respective sectors as well a",257161
,phrase,industry relevant skills,3-word phrase,73,118,62%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,skilling initiatives,2-word phrase,73,119,61%,"Congratulating all the stakeholders for coming together to create futuristic instruments to further the skilling, re-skilling and up-skilling agenda, Shri Dharmendra Pradhan, said, these skilling initiatives and partnerships will prepare th",254960
,phrase,training dgt,2-word phrase,73,115,63%,,
,phrase,unified digital,2-word phrase,73,121,60%,"This solution will aid the CCPA in identifying dark patterns, speeding up the resolution of consumer disputes and will go a long way in curbing practices that are detrimental to consumer interests Launch of ‘e-Mapp’ portal for all services ",264437
,phrase,democratize,1-word phrase,72,101,71%,"ssion, NITI Aayog and Meta join hands to establish Frontier Technology Labs in schools to democratize access to future technologies and innovation In an effort to democratize future technologies and empower youth to innovate, Atal Innovatio",254557
,phrase,digital hub sidh,3-word phrase,72,117,62%,,
,phrase,healthcare agriculture,2-word phrase,72,100,72%,,
,phrase,hub sidh,2-word phrase,72,117,62%,,
,phrase,iisc bengaluru,2-word phrase,72,111,65%,"Arjun Munda announces ground-breaking partnerships for Tribal Development with ISRO, AIIMS Delhi, IIT Delhi, IIM Calcutta and IISc Bengaluru Union Minister for Tribal Affairs and Agriculture & Farmers’ Welfare, Shri Arjun Munda, presided ov",254655
,phrase,language models,2-word phrase,72,72,100%,Following were the key innovations discussed and demonstrated during the event amongst others: Large Language Models for Dark Pattern Detection: An exceptional project proposed a browser extension to detect dark patterns on e-commerce sites,253862
,phrase,nasscom,1-word phrase,72,103,70%,"Spearheaded by the collaborative efforts of ASSOCHAM, NASSCOM, Bootstrap Incubation & Advisory Foundation, TiE and Indian Venture and Alternate Capital Association (IVCA), the event will cement India's reputation as a melting pot of innovat",254203
,phrase,nstis,1-word phrase,72,104,69%,"The National Skill Training Institutes (NSTIs) have grown, including 19 exclusively for women",256960
,phrase,responsible use,2-word phrase,72,100,72%,"The sessions covered sovereignty, compliance, digital autonomy, more computational resources, cost-effective GPU services, investment, PARAM series supercomputers, skilled resources, and access to computing, The session covered the legal an",256640
,phrase,predict,1-word phrase,71,104,68%,"“You don’t predict the future, you shape it”, Mr Adani said as he credited the Prime Minister for reorienting India to become the world’s fastest-growing nation and positioning the country as the global social champion driven by the philoso",252223
,phrase,digital content,2-word phrase,70,108,65%,"Referring to the expansion of e-commerce, e-shopping, home delivery, online education and remote healthcare, Prime Minister Modi urged the youth to leverage the opportunities presented by digital India, citing the proliferation of digital c",252776
,phrase,global digital,2-word phrase,70,96,73%,"5 trillion US dollars annually, constituting 50% of global digital transactions",253767
,phrase,weather and climate,3-word phrase,70,97,72%,"These integrated R&D efforts will help in addressing the grand challenges of weather and climate, ocean, cryosphere, seismological science and services and explore the living and non-living resources for their sustainable harnessing",252082
,phrase,inclusive digital,2-word phrase,69,102,68%,Our resilient financial ecosystem bolstered by an inclusive digital payment system is now a global model adopted by countries across the world,253767
,phrase,interdisciplinary cyber,2-word phrase,69,88,78%,"COMET, one of the 25 Technology Innovation Hubs (TIH) set up under the National Mission for Interdisciplinary Cyber Physical Systems (NM-ICPS), of the Department of Science and Technology (DST) for enhancing the nation's capabilities in Adv",253581
,phrase,interdisciplinary cyber physical,3-word phrase,69,88,78%,"COMET, one of the 25 Technology Innovation Hubs (TIH) set up under the National Mission for Interdisciplinary Cyber Physical Systems (NM-ICPS), of the Department of Science and Technology (DST) for enhancing the nation's capabilities in Adv",253581
,phrase,skill training institutes,3-word phrase,69,92,75%,"The National Skill Training Institutes (NSTIs) have grown, including 19 exclusively for women",256960
,phrase,numerical,1-word phrase,68,105,65%,"In addition to short range forecast , CWC is providing seven day advisory based on numerical models and inputs available from India Meteorological Department (IMD), satellite derived products for Flood Forecasting (FF) stations of CWC acros",252049
,phrase,technology led,2-word phrase,68,113,60%,He also released a White paper on ‘Evolution: Catalysing technology led ecosystem for Bharat e-Mobility,254261
,phrase,bias,1-word phrase,67,101,66%,"The Guide is an endeavor to promote gender equality and tackle the pervasive gender bias through appropriate use of language in English, Hindi, and vernacular languages",252592
,phrase,developed in collaboration,3-word phrase,67,111,60%,"The system has been developed in collaboration with IISc, Bangalore, a testimony of channelising the Defence-Academia synergy towards induction of a futuristic technology in the Armed Forces",252476
,phrase,global partnership,2-word phrase,67,102,66%,"A stall was setup by DARPG at the Global Partnership on Artificial Intelligence Summit which was held at Bharat Mandapam, New Delhi, from 12th to 14th December, 2023",252292
,phrase,governance frameworks,2-word phrase,67,108,62%,"Safe & Trusted AI - Recognizing the need for adequate guardrails to advance the responsible development, deployment, and adoption of AI, the Safe & Trusted AI pillar will enable the implementation of Responsible AI projects including the de",254635
,phrase,icps,1-word phrase,67,88,76%,"Apart from the several disruptive programs such as creation of incubation centres, INSPIRE program; NM-ICPS, international bilateral programme centers and several programmes of SERB, we may start some major programmes in areas such as preci",252052
,phrase,industry ready,2-word phrase,67,101,66%,The SIM aims at enabling youth of India to get future ready & industry ready skills,257168
,phrase,mission on interdisciplinary,3-word phrase,67,85,79%,National Missions : Introduction of National Missions such as the National Quantum Mission and the National Mission on Interdisciplinary Cyber Physical Systems,258336
,phrase,rdi,1-word phrase,67,109,61%,"Government has initiated a Research, Development and Innovation (RDI) fund with the aim to extend financial assistance to the industries, especially for innovation and technology development in the sunrise sectors",269400
,phrase,smartphone,1-word phrase,67,111,60%,"our people in the village may have not have formal education but they know how to use a smartphone now and per data consumption of Internet in Bharat in 2022 official figure, it was more than that of USA and China taken together I appeal to",252557
,phrase,largest startup,2-word phrase,66,107,62%,"He also mentioned unprecedented strides in green and alternatives sources of energy, 3 times increase in renewable energy capacity, 20 times capacity in solar energy capacity, affordable data prices have led to digital inclusion, optical fi",252226
,phrase,cities mission,2-word phrase,65,66,98%,"02 lakh kms 43,550 kms Sewer network to be laid/ replaced 15,498 kms 28,458 kms 12,960 kms WTP capacity to be added/ augmented 7,071 MLD 9,701 MLD 2,630 MLD STP capacity to be added/ augmented 2,158 MLD 3,939 MLD 1,781 MLD Water bodies to b",252307
,phrase,cyber fraud,2-word phrase,65,106,61%,He said that connection from small cyber fraud to global organized crime is now becoming very deep,253096
,phrase,personalised,1-word phrase,65,80,81%,"This approach aligns with modern P5 medicine principles—predictive, preventive, personalised, participatory, and precision medicine",262625
