relid,release_date,title,url,mention_type,is_ai_relevant,is_substantive,n_systems,confidence
291441,2026-07-20,National Statistical Office under Ministry of Statistics and Programme Implementation has taken several measures to modernise official statistical system through greater use of digital technologies,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291441,Not AI,1,0,0,0.6
291442,2026-07-20,MONITORING OF INFRASTRUCTURE PROJECT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291442,Not AI,0,0,0,0.85
291443,2026-07-20,Union Minister Dr. Jitendra Singh Calls for Revisiting Pension Rules to Minimise Litigation and Strengthen Pensioners' Welfare,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291443,Not AI,1,0,0,0.75
291450,2026-07-20,Upgradation of ITI Infrastructure,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291450,Training,1,1,0,0.6
291451,2026-07-20,Status of Upgradation Under PM-SETU,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291451,Not AI,0,0,0,0.85
291453,2026-07-20,Skill India Mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291453,Training,1,1,0,0.85
291456,2026-07-20,PM-SETU and ITI Upgradation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291456,Not AI,1,0,0,0.65
291458,2026-07-20,Skill Development For Industry Needs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291458,Training,1,1,0,0.85
291460,2026-07-20,Strengthening Skill Development Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291460,Training,1,1,0,0.85
291466,2026-07-20,PRESIDENT OF INDIA IN MOLDOVA; HOLDS BILATERAL MEETING WITH PRESIDENT OF MOLDOVA AND LEADS DELEGATION-LEVEL TALKS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291466,Training,1,1,0,0.85
291467,2026-07-20,Government and RBI Strengthen Fintech Ecosystem with Enhanced Regulatory Frameworks & Consumer Protection Actions,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291467,Policy,1,1,1,0.8
291473,2026-07-20,NHAI Enhances Digital Services on RajmargYatra Mobile App with Launch of Digital Local Pass and MargMitra Help Centre,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291473,Not AI,0,0,0,0.55
291475,2026-07-20,SOCIAL SECURITY FOR UNORGANISED WORKERS THROUGH E-SHRAM PORTAL,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291475,Not AI,0,0,0,0.9
291476,2026-07-20,PRESIDENT OF INDIA ADDRESSES INDIA-MOLDOVA BUSINESS FORUM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291476,Not AI,1,0,0,0.85
291486,2026-07-21,"CDSCO Approves India's First Dengue Vaccine, Strengthening National Dengue Prevention Efforts",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291486,Not AI,0,0,0,0.9
291489,2026-07-21,Digital India BHASHINI Division Brings ‘BHASHINI Rajyam’ to Goa to Advance AI-Powered Governance in Konkani and Indian Languages,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291489,AI system,1,1,1,0.85
291505,2026-07-21,GREAT SCHEME,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291505,Not AI,0,0,0,0.85
291529,2026-07-21,“Progress achieved under digital initiative”,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291529,Policy,1,1,1,0.7
291530,2026-07-21,Integration of AYUSH in national health systems,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291530,Not AI,0,0,0,0.85
291533,2026-07-21,NHAI to Share National Highway Data with Government Research Institutions for Research and Innovation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291533,Not AI,0,0,0,0.75
291535,2026-07-21,NATIONAL CYBER CRIME DATA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291535,Not AI,0,0,0,0.8
291545,2026-07-21,IICA Inaugurates Eighth Batch of its Flagship Post Graduate Insolvency Programme (PGIP 2026–28),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291545,Not AI,1,0,0,0.75
291547,2026-07-21,PRESIDENT OF INDIA IN NORTH MACEDONIA; HOLDS BILATERAL MEETING WITH PRESIDENT OF NORTH MACEDONIA AND LEADS DELEGATION-LEVEL TALKS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291547,Training,1,1,0,0.85
291551,2026-07-21,ASSESSMENT OF RARE EARTH PERMANENT MANAGEMENT SCHEME,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291551,Not AI,0,0,0,0.9
291569,2026-07-21,MY Bharat Launches National Flag of India Quiz 2026 to Celebrate Har Ghar Tiranga Campaign,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291569,Not AI,0,0,0,0.7
291590,2026-07-21,India to Host the Sixteenth BRICS Health Ministers' Meeting in Chandigarh from 22–24 July,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291590,Talk,1,1,0,0.65
291593,2026-07-21,NCVET Grants Awarding Body (Dual) Recognition to NIIT Foundation to Strengthen AI-Enabled Skill Development Across India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291593,Training,1,1,0,0.85
291599,2026-07-21,"Department of Legal Affairs, Ministry of Law and Justice hosts 8th Meeting of BRICS Heads of Prosecution Services",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291599,Not AI,1,0,0,0.8
291600,2026-07-21,India Reaffirms Commitment to Rules-Based Multilateral Trading System at WTO Trade Policy Review in Geneva,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291600,Not AI,1,0,0,0.85
291601,2026-07-21,PRESIDENT OF INDIA ADDRESSES INDIA-NORTH MACEDONIA BUSINESS FORUM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291601,Not AI,1,0,0,0.8
291610,2026-07-22,Traceability systems in seafood export,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291610,Not AI,0,0,0,0.85
291614,2026-07-22,Development of cold water fisheries,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291614,Not AI,0,0,0,0.9
291620,2026-07-22,PARLIAMENT QUESTION: IMPLEMENTATION OF MISSION MAUSAM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291620,AI system,1,1,2,0.8
291625,2026-07-22,Ministry of Statistics and Programme Implementation undertakes periodic methodological reviews of statistical framework to ensure o?cial statistics remain representative of current structure of economy,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291625,Not AI,1,0,0,0.75
291626,2026-07-22,Ministry of Statistics and Programme Implementation has put in place well-defined mechanisms to ensure timely collection and publication of official statistics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291626,Not AI,1,0,0,0.75
291632,2026-07-22,Government Strengthens Online Safety for Children with Stricter Action Against Child Sexual Abuse Material on Social Media,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291632,Policy,1,1,0,0.85
291634,2026-07-22,"Government Approves 2 Electronics Manufacturing Clusters (EMCs) in Tamil Nadu at Manallur (474.3 Acres) & Pillapaikkam (379.3 Acres); Projects worth ?1,012 Cr to Boost Electronics Manufacturing",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291634,Funding,1,1,0,0.85
291640,2026-07-22,NATIONAL CYBERCRIME RESPONSE MECHANISM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291640,Not AI,0,0,0,0.85
291645,2026-07-22,Expansion and Modernisation of ITI Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291645,Not AI,1,0,0,0.8
291647,2026-07-22,Progress of PMKVY,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291647,Not AI,0,0,0,0.9
291650,2026-07-22,Review of PMKVY,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291650,Not AI,1,0,0,0.85
291656,2026-07-22,IMPLEMENTATION OF AI-ENABLED ACADEMIC SUPPORT IN EMRSs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291656,AI system,1,1,1,0.9
291664,2026-07-22,DIGITAL TRANSFORMATION OF PANCHAYATI RAJ INSTITUTIONS (PRI),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291664,AI system,1,1,1,0.6
291666,2026-07-22,RailOne App Gains Widespread Popularity Among Passengers with 4.55 Crore Downloads and Average Daily Ticket Bookings of 9.65 Lakh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291666,Not AI,0,0,0,0.85
291672,2026-07-22,FASTAG BASED TOLL COLLECTION AND DIGITAL TOLLING SYSTEM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291672,AI system,1,1,1,0.85
291702,2026-07-22,"India hosts BRICS Network University Conference and the International Governing Board Meeting, strengthening BRICS Higher Education Cooperation",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291702,Not AI,1,0,0,0.8
291704,2026-07-22,Government Promotes Re-Employment Opportunities For Senior Citizens Through National Career Service (NCS) Portal,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291704,Not AI,1,0,0,0.7
291706,2026-07-22,Centre and States are equal partners in building a future-ready education system for Viksit Bharat 2047 – Shri Dharmendra Pradhan,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291706,Not AI,1,0,0,0.8
291707,2026-07-22,DRDO inks two major contracts with Industry partners as part of AEW&C MK-II programme,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291707,Not AI,0,0,0,0.9
291708,2026-07-22,"India, Panama Chart New Maritime Partnership Focused on Logistics, Digital Innovation and Global Connectivity",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291708,Not AI,1,0,0,0.8
291715,2026-07-23,Four CSIR Technologies Licensed to Industry and Smart Rural Water Monitoring Technology Commercially Launched,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291715,Not AI,0,0,0,0.85
291720,2026-07-23,PARLIAMENT QUESTION: IMPLEMENTATION OF MISSION MAUSAM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291720,Not AI,1,0,0,0.75
291721,2026-07-23,PARLIAMENT QUESTION: WEATHER FORECASTING AND EARLY WARNINGS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291721,Not AI,1,0,0,0.75
291745,2026-07-23,Status of Telecom Infrastructure,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291745,Not AI,0,0,0,0.9
291746,2026-07-23,Measures Taken to Tackle Cyber Frauds,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291746,AI system,1,1,1,0.9
291748,2026-07-23,Steps taken to strengthen Telecommunication and Digital Communication Infrastructure,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291748,Not AI,0,0,0,0.85
291749,2026-07-23,PARLIAMENT QUESTION: IMPLEMENTATION OF BIOE3 POLICY,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291749,Funding,1,1,0,0.7
291750,2026-07-23,PARLIAMENT QUESTION: RDI FUND UNDER ANRF,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291750,Not AI,1,0,0,0.75
291766,2026-07-23,"Indian Railways Focused on Providing Affordable, High-Quality and Passenger-Centric Rail Services to All Sections of Society",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291766,AI system,1,1,2,0.85
291767,2026-07-23,"BRICS Ministerial Meeting on Disaster Risk Reduction (DRR) under the Chairmanship of Union Minister of State for Home Affairs Shri Nityanand Rai, to be held in New Delhi tomorrow",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291767,Not AI,0,0,0,0.9
291772,2026-07-23,LEGAL REFORMS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291772,AI system,1,1,1,0.85
291773,2026-07-23,EFFECTIVENESS OF FREE LEGAL AID IN JAMMU & KASHMIR,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291773,AI system,1,1,1,0.7
291778,2026-07-23,"Bihar Chief Minister Shri Samrat Choudhary and Union Minister Shri Jayant Chaudhary Announce Permanent Campus of NSTI (Women), Patna; MSDE and Bihar Government Exchange MoU for Skill India International Centre (SIIC) Patna",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291778,Training,1,1,0,0.75
291781,2026-07-23,NICDC Organises Cross-Learning Site Visit to AURIC Smart City to Strengthen Industrial Corridor Development,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291781,Not AI,0,0,0,0.85
291782,2026-07-23,ROLE OF INTEGRATED COMMAND AND CONTROL CENTRES IN SMART CITIES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291782,AI system,1,1,2,0.85
291788,2026-07-23,NHAI Extends ‘Clean Toilet Picture Challenge’ till 30th June 2027,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291788,AI system,1,1,1,0.6
291791,2026-07-23,CSIR-NIScPR Released Technical Report on Human-Centered AI and Hosted Distinguished Lecture by Ms. Debjani Ghosh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291791,Talk,1,1,0,0.85
291804,2026-07-24,"Saving Soil, Securing Farms",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291804,AI system,1,1,1,0.65
291810,2026-07-24,‘Poshan Tracker’ digital application is an important governance tool for real time monitoring and tracking under Mission Saksham Anganwadi and Poshan 2.0,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291810,AI system,1,1,1,0.9
291814,2026-07-24,Ministry of Women and Child Development launched Mission Saksham Anganwadi and Poshan 2.0 to improve nutritional outcomes among children from 0-6 years,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291814,AI system,1,1,1,0.9
291815,2026-07-24,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres across the country",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291815,AI system,1,1,1,0.9
291821,2026-07-24,NHA Convenes BRICS Dialogue on Strengthening Continuum of Care Through Digital Health and Responsible AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291821,Talk,1,1,0,0.85
291824,2026-07-24,Kargil Vijay Diwas 2026,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291824,Not AI,1,0,0,0.6
291841,2026-07-24,"CCTV Surveillance Systems Provided at 3,215 Railway Stations and 13,409 Passenger Coaches to Strengthen Passenger Safety and Security",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291841,AI system,1,1,1,0.85
291843,2026-07-24,"Indian Railways Initiates AI-based Stain Detection Pilot Project in Laundries at Pune, Jaipur & Jodhpur Divisions to Enhance Quality of Washed Linen",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291843,AI system,1,1,1,0.85
291853,2026-07-24,India Successfully Hosts 3rd BRICS Ministerial Meeting on Disaster Risk Reduction; BRICS Joint Statement Adopted to Advance Global Disaster Resilience,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291853,Not AI,0,0,0,0.95
291861,2026-07-24,PROGRESS IN GENERATING UNIQUE DIGITAL FARMER IDS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291861,Not AI,0,0,0,0.95
291865,2026-07-24,PROMOTION OF AI USE IN AGRICULTURE AND IMPACT ASSESSMENT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291865,AI system,1,1,3,0.85
291868,2026-07-24,Union MoS Dr. Chandra Sekhar Pemmasani Inaugurates Modernised Jan Seva Connect Post Offices in Guntur,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291868,Not AI,1,0,0,0.6
291876,2026-07-24,Two Days of the BRICS Science Academies Forum Meeting 2026 successfully concluded at IIT Hyderabad with focus on AI for Sustainability and Global South Cooperation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291876,Talk,1,1,0,0.8
291882,2026-07-24,Union Minister for Finance & Corporate Affairs Smt. Nirmala Sitharaman outlines 5Rs of responsive tax governance; Calls for greater tax certainty and reduced litigation at the 167th Income Tax celebrations in New Delhi today,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291882,Not AI,1,0,0,0.7
291884,2026-07-24,Union Environment Minister reviews Haryana's Air Pollution Action Plan with Chief Minister (Haryana),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291884,Not AI,0,0,0,0.95
291885,2026-07-24,BUCHAREST UNIVERSTY OF ECONOMIC STUDIES CONFERS HONORARY DOCTORATE ON THE PRESIDENT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291885,Not AI,1,0,0,0.75
292166,2026-07-24,Establishment of Regional AYUSH Medical Hubs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292166,Not AI,0,0,0,0.9
292168,2026-07-24,Use of Artificial Intelligence in AYUSH System,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292168,AI system,1,1,1,0.85
292169,2026-07-24,Research and Clinical Trials in Ayush,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292169,Not AI,0,0,0,0.75
292171,2026-07-24,Digital Initiatives and AYUSH Grid,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292171,AI system,1,1,1,0.75
291906,2026-07-25,Centre Launches DISHA 2.0 with ?255 Crore Outlay to Expand Technology-Driven Access to Justice Across India.,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291906,Policy,1,1,1,0.7
291908,2026-07-25,Government Accelerates Digital Transformation of Judiciary Under eCourts Phase III to Reduce Case Pendency,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291908,Policy,1,1,1,0.65
291946,2026-07-27,India's Fight to Combat Hepatitis,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291946,Not AI,0,0,0,0.95
291958,2026-07-27,33 out of the 37 State/UT Legislatures have signed MoUs for the implementation of the National e-Vidhan Application,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291958,AI system,1,1,1,0.55
291960,2026-07-27,Artificial Intelligence and Skill India Initiatives,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291960,Training,1,1,0,0.85
291961,2026-07-27,Skilling for Space and Geospatial Sectors,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291961,Not AI,1,0,0,0.65
291963,2026-07-27,Digital Skill Development Platform,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291963,Training,1,1,0,0.85
291967,2026-07-27,Gyan Bharatam Mission and Manuscript Digitisation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291967,AI system,1,1,3,0.85
291968,2026-07-27,“MUSEUMS AND MEMORIALS ON INDIAN FREEDOM MOVEMENT”,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291968,AI system,1,1,1,0.5
291975,2026-07-27,"Safe & Trusted AI Pillar under IndiaAI Mission Strengthens Citizen Trust through Secure, Fair and Responsible AI Solutions",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291975,Policy,1,1,0,0.8
291977,2026-07-27,The Making of a Sporting Nation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291977,Not AI,1,0,0,0.6
291999,2026-07-27,Implementation of University Townships and Education-to-Employment Initiatives,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291999,Training,1,1,0,0.75
292000,2026-07-27,Digital India BHASHINI Division Conducts Multilingual AI Workshop for Haryana Vidhan Sabha to Advance Language-First Legislative Governance,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292000,Talk,1,1,1,0.85
292003,2026-07-27,"Expansion of Digital Learning, Research and Creative Technology Initiatives",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292003,Not AI,0,0,0,0.95
292013,2026-07-27,"Ministry of Earth Sciences Celebrates 20th Foundation Day, Highlighting Two Decades of Scientific Excellence and National Service",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292013,Talk,1,1,2,0.65
292016,2026-07-28,India Leads the Wilderness in Tiger Conservation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292016,Talk,1,1,2,0.65
292027,2026-07-28,GREAT SCHEME,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292027,Not AI,0,0,0,0.95
292035,2026-07-28,CYBER CRIME MITIGATION CENTRE,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292035,Not AI,0,0,0,0.9
292039,2026-07-28,CFCFRMS 2.0 PLATFORM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292039,AI system,1,1,1,0.7
292068,2026-07-28,"India's Exports Scale Record US$ 863.1 Billion in FY 2025–26, Driven by Strong Trade with UAE, UK and Australia",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292068,Not AI,0,0,0,0.95
292078,2026-07-28,PORT MODERNIZATION AND EXPANSION,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292078,Not AI,0,0,0,0.95
292119,2026-07-28,Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry in India (PLI-Auto),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292119,Not AI,0,0,0,0.95
292149,2026-07-28,India's leadership role in yoga and traditional medicine at the global stage,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292149,Not AI,1,0,0,0.65
292150,2026-07-28,Strengthening AYUSH through evidence based research,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292150,AI system,1,1,1,0.8
292144,2026-07-29,PARLIAMENT QUESTION: LONG RANGE FORECAST SYSTEM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292144,Not AI,1,0,0,0.6
292152,2026-07-29,"Raksha Mantri virtually inaugurates Department of Military Medicine at Command Hospital (Central Command), Lucknow",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292152,Not AI,1,0,0,0.65
292157,2026-07-29,"NeGP Strengthens Last-Mile Governance through Common Service Centres and District e-Governance Societies, Delivering Transparent, Efficient and Citizen-Centric Digital Services Across the Country",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292157,AI system,1,1,1,0.85
292172,2026-07-29,PARLIAMENT QUESTION: ARTIFICIAL INTELLIGENCE IN GOVERNMENT MINISTRIES/DEPARTMENTS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292172,Training,1,1,0,0.85
292173,2026-07-29,"Government has adopted multi-pronged approach to address educational, social and economic empowerment of girls",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292173,Not AI,1,0,0,0.8
292176,2026-07-29,TECHNOLOGY-BASED JUSTICE SYSTEM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292176,Not AI,0,0,0,0.7
292178,2026-07-29,INTEGRATED FLOOD EMERGENCY MANAGEMENT IN THE GANGA BASIN,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292178,AI system,1,1,1,0.75
292187,2026-07-29,"IndiaAI Mission Advances AI-Driven Governance and Public Service Delivery through Collaborative Roadmaps, Innovation Challenges and Capacity Building",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292187,Policy,1,1,5,0.7
292200,2026-07-29,Skill India Digital Hub,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292200,Training,1,1,0,0.85
292202,2026-07-29,PM SETU,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292202,Not AI,1,0,0,0.75
292204,2026-07-29,Pradhan Mantri Skilling And Employability Transformation Through Upgraded ITIs (PM-SETU),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292204,Not AI,1,0,0,0.75
292205,2026-07-29,Implementation of Pradhan Mantri Kaushal Vikas Yojana (PMKVY) 4.0,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292205,Not AI,1,0,0,0.75
292208,2026-07-29,Strengthening Human-Centric Skill,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292208,Training,1,1,0,0.85
292214,2026-07-29,PARLIAMENT QUESTION: FUND DISBURSED/UTILIZED IN ANRF,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292214,Funding,1,1,0,0.75
292222,2026-07-29,PARLIAMENT QUESTION: RESEARCH DEVELOPMENT AND INNOVATION SCHEME,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292222,Not AI,1,0,0,0.7
292224,2026-07-29,"Digital Public Infrastructure Strengthens Inclusive Governance by Expanding Access to Digital Services, Financial Inclusion and Last-Mile Service Delivery",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292224,Not AI,1,0,0,0.55
292225,2026-07-29,PARLIAMENT QUESTION: DEVELOPMENT OF QUANTUM ALGORITHMS BY INDIAN RESEARCH INSTITUTIONS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292225,Not AI,0,0,0,0.8
292227,2026-07-29,PARLIAMENT QUESTION: RESEARCH AND INNOVATION PROGRAMMES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292227,Research,1,1,0,0.55
292228,2026-07-29,Second Batch of Master Trainers trained under the Nirbhay Netri Initiative in New Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292228,Not AI,0,0,0,0.9
292236,2026-07-29,COAL EXCHANGE RULES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292236,Not AI,0,0,0,0.9
292247,2026-07-29,"National Education Policy (NEP), 2020",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292247,Not AI,1,0,0,0.75
292257,2026-07-29,Alignment of Academics with Employment Opportunities,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292257,Training,1,1,0,0.8
292258,2026-07-29,Promotion of Mother Tongue-based Education,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292258,Policy,1,1,1,0.65
292260,2026-07-29,Vacancies in Central Educational Institutions,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292260,Not AI,0,0,0,0.9
292261,2026-07-29,Implementation of PM SHRI scheme,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292261,Training,1,1,1,0.8
292268,2026-07-29,Union Health Minister Shri Jagat Prakash Nadda calls upon MPs from West Bengal to lead Jan Andolan for TB Elimination,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292268,Talk,1,1,1,0.7
292269,2026-07-29,"Innovation, Startups, MSMEs and Quality Manufacturing are Pillars of India's Future Growth: Shri Piyush Goyal at 22nd J.R.D. Tata Memorial Lecture",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292269,Talk,1,1,0,0.7
292271,2026-07-29,Union Minister of Communications Shri Jyotiraditya M. Scindia Unveils Theme for 10th Edition of India Mobile Congress 2026: ‘Scale without boundaries’,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292271,Not AI,1,0,0,0.75
292287,2026-07-30,STRENGTHENING AND EXPANSION OF EMRSs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292287,Not AI,1,0,0,0.75
292292,2026-07-30,STATUS OF EMRSs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292292,Not AI,1,0,0,0.75
292295,2026-07-30,"Centre for Development of Telematics (C-DOT) signs agreement with Indian Institute of Science, Bengaluru (IISc Bengaluru) and Foundation for Science Innovation and Development (FSID) for setting up C-DOT Centre of Excellence",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292295,Research,1,1,0,0.7
292300,2026-07-30,PARLIAMNENT QUESTION: STRENGTHENING CLIMATE MONITORING AND WEATHER FORECASTING SYSTEMS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292300,AI system,1,1,2,0.85
292301,2026-07-30,PARLIAMENT QUESTION: DOPPLER RADAR COVERAGE IN LAHAUL AND SPITI AND KINNAUR,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292301,Not AI,1,0,0,0.55
