relid,release_date,ministry,title,discovered_by_term,discovered_in_round,n_terms,all_matched_terms,url
259549,2024-09-11,NITI Aayog,Release of the Report of the Expert Group Report on ‘Future Pandemic Preparedness – A Framework for Action’,predictive,0,1,predictive,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259549
259551,2024-09-11,Ministry of Defence,"Border villages are the country’s first villages, not remote areas; Govt fully committed to their holistic development, says Raksha Mantri",smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259551
259552,2024-09-11,Ministry of Jal Shakti,Union Minister Shri C.R. Paatil chairs 12th Meeting of Empowered Task Force on Ganga Rejuvenation,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259552
259553,2024-09-11,Ministry of Skill Development and Entrepreneurship,Navigating India's Skill Landscape,AI,0,6,AI | ML | amazon web | amazon web services | cisco | worldskills,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259553
259562,2024-09-11,Ministry of Commerce & Industry,"India-US working together in areas like critical minerals, supply chains and advanced technologies: Shri Piyush Goyal",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259562
259564,2024-09-11,Ministry of Parliamentary Affairs,"Union Minister for Parliamentary Affairs, Shri Kiren Rijiju inaugurates six initiatives as part of 100 Days Achievements",NeVA,1,1,NeVA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259564
259581,2024-09-11,Cabinet,"Cabinet approves 'Mission Mausam' to create a more weather-ready and climate-smart Bharat with an outlay of Rs.2,000 crore over two years",artificial intelligence,0,7,artificial intelligence | smart | automated | machine learning | like artificial | technologies like artificial | weather surveillance,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259581
259582,2024-09-11,Ministry of Earth Science,"Cabinet approves 'Mission Mausam' to create a more weather-ready and climate-smart Bharat with an outlay of Rs.2,000 crore over two years",artificial intelligence,0,7,artificial intelligence | smart | automated | machine learning | like artificial | technologies like artificial | weather surveillance,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259582
259585,2024-09-11,Ministry of Skill Development and Entrepreneurship,"Shri Jayant Chaudhary, Minister of State (Independent Charge), Ministry of Skill Development and Entrepreneurship and Minister of State, Ministry of Education, GoI, attends the grand opening ceremony held in Lyon at the LDLC Centre",robot,1,5,robot | water technology | design technology | hub for skilled | worldskills,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259585
259588,2024-09-11,Ministry of Civil Aviation,Union Civil Aviation Minister Shri Rammohan Naidu Inaugurates 2nd Asia-Pacific Ministerial Conference on Civil Aviation in New Delhi,according to him,1,1,according to him,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259588
259601,2024-09-12,Ministry of Skill Development and Entrepreneurship,Free Online Training in Regional Languages: NIMI Launches YouTube Channels for ITI Students,tamil bengali,1,1,tamil bengali,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259601
259607,2024-09-12,Ministry of Science & Technology,"""Global Bio India Unveils 30 Breakthrough Startups, Paving the Way for the Future of Biotech"" says Union Minister Dr. Jitendra Singh",AI,0,6,AI | smart | Blockchain | bio based chemicals | based chemicals | bio e3 policy,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259607
259633,2024-09-12,Prime Minister's Office,English rendering of PM’s address at 2nd Asia Pacific Civil Aviation Ministers Conference in New Delhi,facial recognition,0,2,facial recognition | facial,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259633
259639,2024-09-13,"Ministry of Personnel, Public Grievances & Pensions","DLC Campaign 3.0 for Digital Empowerment of Pensioners through Jeevan Praman to be held from November 1-30, 2024",smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259639
259641,2024-09-13,Ministry of Earth Science,"Mission Mausam Unveiled: A 2,000 Crore initiative to Enhance India’s Weather and Climate Forecasting by 2026",AI,0,6,AI | ML | smart | change and extreme | weather surveillance | physics based,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259641
259651,2024-09-13,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah to address inaugural session of Official language Diamond Jubilee celebrations and 4th Akhil Bharatiya Rajbhasha Sammelan on Saturday, 14th September, in New Delhi",renowned actor,1,1,renowned actor,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259651
259652,2024-09-13,Prime Minister's Office,English rendering of the Prime Minister’s interaction with champions of Paris Paralympic Games,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259652
259660,2024-09-13,Ministry of Commerce & Industry,Commerce Secretary attends SCO Meeting of Trade & Economy Ministers virtually,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259660
259662,2024-09-13,Ministry of Women and Child Development,"Union Minister of Women and Child Development, Smt. Annpurna Devi reviews the progress of various Schemes under the Ministry in Ranchi, Jharkhand",like mission,1,1,like mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259662
259681,2024-09-13,AYUSH,Global Experts Convene at AIIA to Explore AI Integration in advancing Traditional Medicine,AI,0,3,AI | artificial intelligence | analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259681
259693,2024-09-13,Ministry of Corporate Affairs,CCI engages Management Development Institute Society (MDIS) for Market Study on Artificial Intelligence and Competition,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259693
259699,2024-09-13,"Ministry of Personnel, Public Grievances & Pensions",Preparations for successful conduct of Special Campaign 4.0 commence in Department of Administrative Reforms and Public Grievances (DARPG),intelligent,0,2,intelligent | prevention of corruption,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259699
259712,2024-09-13,"Ministry of Micro,Small & Medium Enterprises","To take the ‘New Khadi of New India’ to new heights, KVIC-NIFT signed the ‘Centre of Excellence for Khadi-2.0’ (CoEK-2.0) MoU",design technology,1,1,design technology,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259712
259724,2024-09-14,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah’s message on Hindi Diwas 2024",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259724
259743,2024-09-14,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah addresses Official Language Diamond Jubilee Celebrations and 4th Akhil Bharatiya Rajbhasha Sammelan in New Delhi today",conversational,1,1,conversational,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259743
259744,2024-09-14,Ministry of Communications,Celebrating 75 Years of Rajbhasha Hindi – Commemorative Postage Stamp Released by Union Home Minister & Minister of Cooperation Shri Amit Shah on Hindi Diwas,diverse linguistic communities,1,1,diverse linguistic communities,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259744
259745,2024-09-14,"Ministry of Personnel, Public Grievances & Pensions",NCGG Concludes the 1st Advanced Leadership Development Programme on Public Policy & Good Governance for Latin America & Caribbean Countries,smart,0,2,smart | governance challenges,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259745
259753,2024-09-14,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah chairs the second day of the two-day National Security Strategies Conference – 2024 in New Delhi",analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259753
259763,2024-09-15,Ministry of Agriculture & Farmers Welfare,"India hold bilateral meetings with USA, Brazil, Germany, UK, Japan, Spain, UAE on the sidelines of G20 Agriculture Ministerial Meeting on 12 and 13th September 2024 in Cuiabá, Brazil",artificial intelligence,0,2,artificial intelligence | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259763
259765,2024-09-15,Vice President's Secretariat,Pattern of prejudice against reservation handed over; person holding constitutional post talks about ending reservations-VP,according to him,1,1,according to him,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259765
259766,2024-09-15,Vice President's Secretariat,"Text of Vice-President's Address at the inauguration ceremony of Samvidhan Mandir at Elphinstone Technical High School and Jr. College, Mumbai",according to him,1,1,according to him,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259766
259770,2024-09-15,Vice President's Secretariat,"Text of Vice-President’s address at the inauguration ceremony of the Digital Tower at RCOEM, Nagpur",artificial intelligence,0,3,artificial intelligence | machine learning | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259770
259773,2024-09-15,Ministry of Labour & Employment,Union Minister Dr. Mansukh Mandaviya Chairs 3rd Regional Meeting with States/UTs,AI,0,3,AI | artificial intelligence | analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259773
259778,2024-09-16,Prime Minister's Office,"Prime Minister Shri Narendra Modi inaugurates 4th Global Renewable Energy Investor’s Meet and Expo (RE-INVEST) in Gandhinagar, Gujarat",bio e3 policy,1,1,bio e3 policy,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259778
259788,2024-09-16,Ministry of Skill Development and Entrepreneurship,"India Shines at WorldSkills Lyon 2024, in France: Wins 16 Medals and Medallions of Excellence",Automobile,1,5,Automobile | talent enabling | water technology | design technology | worldskills,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259788
259803,2024-09-17,Ministry of Petroleum & Natural Gas,U.S.-India Strategic Clean Energy Partnership Ministerial Joint Statement,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259803
259840,2024-09-17,"Ministry of Fisheries, Animal Husbandry & Dairying","Shri Rajiv Ranjan Singh briefs media today on the important decisions and achievements of Ministry for Fisheries, Animal Husbandry and Dairying in 100 days of the third term of Prime Minister Shri Narendra Modi",AI,0,4,AI | smart | analytics | access control,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259840
259851,2024-09-17,Ministry of Communications,Dak Ghar Niryat Kendra Expands Export Services with Automated IGST Refund and electronic payment reconciliation facility,automated,0,2,automated | improved visibility,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259851
259856,2024-09-17,Ministry for Development of North-East Region,100 Days Achievements of Ministry of Development of North Eastern Region,artificial intelligence,0,2,artificial intelligence | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259856
259875,2024-09-18,Ministry of Food Processing Industries,4 day Mega event 'World Food India 2024' begins tomorrow in New Delhi,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259875
259880,2024-09-18,Ministry of Food Processing Industries,"4 day Mega event ""World Food India 2024"" begins tomorrow in New Delhi",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259880
259881,2024-09-18,Ministry of Shipping,"India-Denmark Maritime Collaboration Gathers Momentum with Focus on Green Shipping, Digitalization, and Sustainable Development",smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259881
259884,2024-09-18,President's Secretariat,President of India graces 18th convocation of MNIT Jaipur,artificial intelligence,0,2,artificial intelligence | intelligence and data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259884
259885,2024-09-18,Ministry of Housing and Urban Poverty Alleviation,Smart e-Toilets: Revolutionizing Urban Sanitation Across India,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259885
259886,2024-09-18,"Ministry of Consumer Affairs, Food & Public Distribution","Department of Food and Public Distribution, Government of India working on Four Pillars for 100 Days Action Plan",video surveillance system,1,1,video surveillance system,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259886
259891,2024-09-18,Cabinet,Bharatiya Anthariksh Station (BAS): Our own Space Station for Scientific research to be established with the launch of its first module in 2028,crewed,1,1,crewed,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259891
259892,2024-09-18,Cabinet,New Re-usable Low-cost launch vehicle for Bharat,crewed,1,1,crewed,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259892
259901,2024-09-18,Department of Space,Bharatiya Anthariksh Station (BAS): Our own Space Station for Scientific research to be established with the launch of its first module in 2028,crewed,1,1,crewed,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259901
259902,2024-09-18,Department of Space,New Re-usable Low-cost launch vehicle for Bharat,crewed,1,1,crewed,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259902
259910,2024-09-18,Ministry of Women and Child Development,"With every initiative, the Government is empowering women, nurturing children, and creating pathways that align with the Prime Minister’s vision of a Viksit Bharat: Smt Annpurna Devi",home ration,1,2,home ration | take home ration,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259910
259912,2024-09-18,Ministry of Science & Technology,"CSIR, APCTT-UN ESCAP and WAITRO jointly organized Conclave on Policy Deliberations for Strengthening South-South Cooperation",ethical and responsible,1,1,ethical and responsible,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259912
259923,2024-09-18,Ministry of Defence,"India’s position is of a ‘Vishwa Bandhu’ in the global world order, says CDS Gen Anil Chauhan at Foreign Service Attaches Conclave in New Delhi",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259923
259927,2024-09-18,Ministry of New and Renewable Energy,"Every individual has a big role to play in climate action, energy must be consumed optimally: Vice-president Shri Jagdeep Dhankar",smart,0,3,smart | bihar chhattisgarh goa | design technology,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259927
259935,2024-09-18,Ministry of Electronics & IT,Ministry of Electronics and Information Technology (MeitY) organizes 'CISO workshop on Cyber Security' as part of “Cyber Surakshit Bharat” initiative,artificial intelligence,0,2,artificial intelligence | abhishek singh additional,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259935
259949,2024-09-18,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah hails Union Cabinet decisions",crewed,1,1,crewed,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259949
259955,2024-09-18,Ministry of Commerce & Industry,"Shri Piyush Goyal unveils AI and ML-based Trademark Search Technology, IP Saarthi Chatbot",AI,0,5,AI | ML | artificial intelligence | chatbot | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259955
259981,2024-09-19,"Ministry of Personnel, Public Grievances & Pensions",List of grievances redressed on CPGRAMS released by Department of Administrative Reforms and Public Grievances,grievance filing,1,1,grievance filing,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259981
259987,2024-09-19,Ministry of Agriculture & Farmers Welfare,Union Minister Shri Shivraj Singh Chouhan today addresses a press conference to mark the important decisions and achievements taken by the Ministry of Agriculture and Farmers’ Welfare in the 100 days of the third term of Prime Minister Shri Narendra Modi.,AI,0,8,AI | automated | chatbot | pest surveillance | voice based | npss | multilingual support | services and make,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=259987
260003,2024-09-19,Ministry of Law & Justice,"India Participates in BRICS Ministers of Justice Meeting, Showcases Legal Reforms and Initiatives",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260003
260006,2024-09-19,Ministry of Communications,TCOE-VTU-VRIF sign an MoU to establish a Centre of Excellence in Quantum Technology and associated 5G/6G Technologies,telecom centre,1,1,telecom centre,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260006
260007,2024-09-19,Ministry of Housing and Urban Poverty Alleviation,National Workshop on Multi-level action for Climate Resilient Cities,smart,0,2,smart | cities mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260007
260017,2024-09-19,Ministry of Jal Shakti,Union Minister Shri C.R. Paatil presides over the Valedictory Session of the 8th India Water Week 2024 in New Delhi,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260017
260026,2024-09-20,Ministry of Science & Technology,11th National Level Exhibition & Project Competition (NLEPC) 2024 under INSPIRE - MANAK successfully concluded with Winners Felicitation Ceremony,smart,0,3,smart | Samarth | stick,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260026
260031,2024-09-20,Ministry of Health and Family Welfare,Union Health Minister Shri JP Nadda Inaugurates Second Edition of Global Food Regulators Summit 2024 hosted by FSSAI alongside the World Food India 2024 event being organised by Ministry of Food Processing Industries,AI,0,2,AI | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260031
260037,2024-09-20,President's Secretariat,President of India graces centenary celebration of the ICAR-National Institute of Secondary Agriculture,artificial intelligence,0,2,artificial intelligence | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260037
260039,2024-09-20,Ministry of Electronics & IT,IndiaAI Innovation Challenge launched to foster impactful AI Solutions inviting applications to build AI Solutions for critical sectors,AI,0,12,AI | analytics | IndiaAI | independent business | business division | independent business division | learning disabilities | ibd | bolster india’s global | social good | development deployment | ethical and responsible,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260039
260044,2024-09-20,Ministry of Health and Family Welfare,Union Health Minister Shri J P Nadda lists out achievements of the Union Health Ministry in the First 100 Days of the New Government,automated,0,1,automated,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260044
260055,2024-09-20,Office of Principal Scientific Advisor to GoI,"MCTE AND SETS SIGN MoU TO STRENGTHEN CYBER SECURITY, QUANTUM SECURITY AND INFORMATION SECURITY CAPABILITIES",AI,0,2,AI | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260055
260056,2024-09-20,Office of Principal Scientific Advisor to GoI,"MCTE AND SETS SIGN MoU TO STRENGTHEN CYBER SECURITY, QUANTUM SECURITY AND INFORMATION SECURITY CAPABILITIES",AI,0,2,AI | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260056
260070,2024-09-20,"Ministry of Personnel, Public Grievances & Pensions","The 33rd Capacity Building Programme for the Civil Servants of Maldives successfully completed today at NCGG, New Delhi",smart,0,2,smart | Smart City,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260070
260092,2024-09-21,"Ministry of Environment, Forest and Climate Change.",Ministry achieves 100 days target on Integrated Development of Wildlife Habitats,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260092
260097,2024-09-21,Ministry of Science & Technology,MoU Between ARIES & BEL for Space Situational Awareness (SSA),analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260097
260115,2024-09-22,Prime Minister's Office,English Translation of Prime Minister Shri Narendra Modi’s Remarks at the QUAD Leaders' Cancer Moonshot Event,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260115
260120,2024-09-22,Prime Minister's Office,"The Wilmington Declaration Joint Statement from the Leaders of Australia, India, Japan, and the United States",AI,0,2,AI | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260120
260121,2024-09-22,Prime Minister's Office,Prime Minister attends Quad Cancer Moonshot event,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260121
260122,2024-09-22,Prime Minister's Office,Joint Fact Sheet: The United States and India Continue to Expand Comprehensive and Global Strategic Partnership,AI,0,8,AI | artificial intelligence | intelligent | smart | machine learning | airawat | computational biology | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260122
260123,2024-09-22,Prime Minister's Office,Fact Sheet: Quad Countries Launch Cancer Moonshot Initiative to Reduce the Burden of Cancer in the Indo-Pacific,artificial intelligence,0,4,artificial intelligence | amazon web | amazon web services | detection tools,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260123
260124,2024-09-22,Prime Minister's Office,Fact Sheet: 2024 Quad Leaders’ Summit,AI,0,3,AI | artificial intelligence | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260124
260129,2024-09-21,Prime Minister's Office,Quad Principles for Development and Deployment of Digital Public Infrastructure,enhancing technologies,1,4,enhancing technologies | privacy enhancing | privacy enhancing technologies | algorithmic,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260129
260133,2024-09-22,Ministry of Commerce & Industry,"India signs first-of-its-kind agreements focused on Clean Economy, Fair Economy, and the IPEF Overarching arrangement under Indo-Pacific Economic Framework for prosperity",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260133
260150,2024-09-22,Ministry of Defence,First ever Tri-services Future Warfare Course to begin on September 23,artificial intelligence,0,5,artificial intelligence | machine learning | like artificial | technologies like artificial | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260150
260156,2024-09-23,Prime Minister's Office,"English rendering of PM’s address to the Indian Diaspora, New York, USA",AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260156
260157,2024-09-22,Prime Minister's Office,Prime Minister attends the CEOs Roundtable,AI,0,4,AI | artificial intelligence | bio e3 policy | ethical and responsible,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260157
260174,2024-09-23,Ministry of Textiles,Empowering artisans and enhancing India’s position in the global textile industry main focus of Ministry of Textiles in first 100 days of government,AI,0,3,AI | artificial intelligence | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260174
260185,2024-09-23,Ministry of Communications,Union Minister Shri Jyotiraditya M. Scindia addresses press conference to share important decisions and achievements taken by the Department of Telecommunications in the 100 days of the third term of Prime Minister Shri Narendra Modi.,AI,0,2,AI | telecom centre,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260185
260187,2024-09-23,Ministry of Commerce & Industry,India attends first in-person IPEF Supply Chain Council and Crisis Response Network meeting at Washington DC,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260187
260202,2024-09-23,Ministry of Communications,Union Minister Shri Jyotiraditya M. Scindia addresses press conference to share important decisions and achievements taken by the Department of Posts in the 100 days of the third term of Prime Minister Shri Narendra Modi,automated,0,1,automated,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260202
260206,2024-09-23,Ministry for Development of North-East Region,Union Minister of Communications and Development of North Eastern Region Shri Jyotiraditya M. Scindia addresses a press conference in New Delhi today on the significant achievements of the first 100 days of Ministry of Development of North Eastern Region,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260206
260216,2024-09-24,President's Secretariat,President of India graces the opening ceremony of the 16th Asian Organisation of Supreme Audit Institution Assembly,artificial intelligence,0,6,artificial intelligence | analytics | machine learning | like artificial | technologies like artificial | intelligence data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260216
260217,2024-09-24,Ministry of Defence,Raksha Mantri Shri Rajnath Singh inaugurates 41st Indian Coast Guard Commanders’ Conference in New Delhi,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260217
260223,2024-09-24,Ministry of Health and Family Welfare,"Union MoS for Health and Family Welfare, Shri Prataprao Jadhav Launches Tobacco Free Youth Campaign 2.0 to Protect the Health and Well-Being of India’s Youth",gaurav chaudhary,1,1,gaurav chaudhary,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260223
260224,2024-09-24,Ministry of Commerce & Industry,India attends Ministerial Meeting of Indo-Pacific Economic Framework for Prosperity,analytics,0,2,analytics | address various challenges,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260224
260231,2024-09-24,Ministry of Electronics & IT,"India AI Fellowship For B.Tech, M.Tech & PhD scholars",AI,0,9,AI | artificial intelligence | IndiaAI | independent business | business division | independent business division | ibd | bolster india’s global | ethical and responsible,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260231
260240,2024-09-24,Ministry of Health and Family Welfare,"Union Minister of Health and Family Welfare, Shri JP Nadda addresses 4th Anniversary Ceremony of the National Medical Commission",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260240
260249,2024-09-24,Ministry of Defence,"Rule based international order & primacy of global institutions are imperatives for maintaining peace in the emerging multipolar world, says CISC Lt Gen JP Mathew in Indo-Pacific Chiefs of Defence conference",AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260249
260253,2024-09-24,Ministry of Skill Development and Entrepreneurship,4400 candidates get job offer letters at Bijnor Kaushal Mahotsav; Jayant Chaudhary felicitates young achievers,hub for skilled,1,1,hub for skilled,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260253
260257,2024-09-25,Ministry of Corporate Affairs,Measures by MCA to address concerns and guide stakeholders for compliances on MCA21 Portal,chatbot,0,1,chatbot,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260257
260271,2024-09-25,Prime Minister's Office,PM to visit Maharashtra on 26 September,computing power,1,1,computing power,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260271
260273,2024-09-25,Ministry of Health and Family Welfare,"Union MoS for Health and Family Welfare, Shri Prataprao Jadhav Presides over 69th Foundation Day Celebrations of AIIMS New Delhi",AI,0,3,AI | artificial intelligence | retinopathy,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260273
260275,2024-09-25,Ministry of Parliamentary Affairs,"Union Parliamentary Affairs Minister, Shri Kiren Rijiju highlights significant achievements of Ministry of Parliamentary Affairs in the first 100 days of new Government",Bhashini,1,2,Bhashini | NeVA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260275
260278,2024-09-25,Vice President's Secretariat,"Text of the Vice-President's address at the 2nd edition of Uttar Pradesh International Trade Show at Gautam Buddha Nagar, Uttar Pradesh",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260278
260280,2024-09-25,Ministry of Commerce & Industry,Make in India Celebrates 10 Years: A Decade of Transformational Growth,ecosystem initiatives,1,1,ecosystem initiatives,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260280
260281,2024-09-25,Ministry of Minority Affairs,"Union Minister, Shri Kiren Rijiju highlights key achievements of Ministry of Minority Affairs in the first 100 days of new Government",AI,0,8,AI | artificial intelligence | Bhashini | language translation | multilingual access | diverse linguistic backgrounds | details baggage | linguistic backgrounds,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260281
260282,2024-09-25,Vice President's Secretariat,"Bharat has emerged as the most buoyant economy in the world that has 8% growth prospects for decades to come, stresses VP",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260282
260295,2024-09-25,Ministry of Textiles,Ministry of Textiles organizes ‘Viksit Bharat - Technical Textiles for Sustainable Growth & Development’ conference under the 100-day programme,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260295
260296,2024-09-25,Ministry of Textiles,Union Minister of Textiles Shri Giriraj Singh launches ‘Paridhi 24x25’ – a bilingual web portal of VisioNxt and Begusarai Extension Centre,AI,0,3,AI | artificial intelligence | Human Intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260296
260327,2024-09-26,"Ministry of Personnel, Public Grievances & Pensions",India-Mauritius Talks for collaboration in Capacity Building programme “Positive and Successful”,governance challenges,1,1,governance challenges,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260327
260332,2024-09-26,Ministry of Communications,"TRAI Mandates Whitelisted URLs, APKS, or OTT links for SMS Traffic",communication system,1,1,communication system,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260332
260334,2024-09-26,Vice President's Secretariat,"Text of Vice-President's address at the 83rd CSIR Foundation Day Celebrations at the NASC Complex, New Delhi",Automobile,1,2,Automobile | unleashing,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260334
260335,2024-09-26,Vice President's Secretariat,"Mere commitment of fiscal resources and lip service to R&D is not enough; focus on tangible outcomes, says VP",Automobile,1,2,Automobile | unleashing,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=260335
