term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
contract services,1,2-gram,automated,automated(8),2,1,by avoiding any cascading of tax. Whether the works contract services relating to oil and gas exploration and production (E&P) in
fastag based,1,2-gram,ANPR,ANPR(9) | automated(7),11,1,
retinopathy,1,1-gram,deep learning,automated(7) | deep learning(3),21,2,"broncho-pulmonary dysplasia, necrotizing enterocolitis and retinopathy. The Government of India has established Comprehensive"
organisations across sectors,1,3-gram,automated,automated(7),10,1,
electronic monitoring,1,2-gram,ANPR,automated(7) | ANPR(7),14,1,"019, Government had also published rules in August 2021 for Electronic Monitoring and Enforcement of Road Safety at high-risk and high-densit"
highways state highways,1,3-gram,ANPR,automated(7) | ANPR(5),11,1,
electronic enforcement,1,2-gram,ANPR,automated(7) | ANPR(4),12,1,in Four lane and above NHs. ATMS has provisions for various electronic enforcement devices which help in speedy identification of incidents (i
critical junctions,1,2-gram,ANPR,automated(7) | ANPR(4),11,1,"nsity corridors on National Highways, State Highways and at critical junctions in cities having a population of more than one million and"
enforcement of road,1,3-gram,ANPR,automated(7) | ANPR(4),12,1,ublished rules in August 2021 for Electronic Monitoring and Enforcement of Road Safety at high-risk and high-density corridors on National
cyber terrorism,1,2-gram,big data,automated(7) | big data(5),16,1,"computer system, identity theft, cheating by impersonation, cyber terrorism, securing unauthorised access to protected system etc."
centres dtcs,1,2-gram,automated,automated(7),8,1,
driving training centres,1,3-gram,automated,automated(7),8,1,Progress Of Regional Driving Training Centres (RDTCs) The Government in Ministry of Road Transport & Hi
dtcs,1,1-gram,automated,automated(7),8,1,ving Training Centres (RDTCs) and Driving Training Centres (DTCs) in States/UTs. The aim of the scheme is to improve road sa
rdtcs and driving,1,3-gram,automated,automated(7),8,1,
fire tenders ambulances,1,3-gram,automated,automated(7),7,1,
centres rdtcs,1,2-gram,automated,automated(7),8,1,
explainable,1,1-gram,algorithm,IndiaAI(12) | machine learning(8) | algorithm(7) | compute(7) | FutureSkills(5),22,1,out it. We have to ask questions to ourselves. Is the delay explainable? Condonable! Does it not raise certain fundamental question
testing framework,1,2-gram,algorithm,algorithm(5),6,1,"of the Government of India to build a modern and efficient testing framework that supports economic growth, compliance, and ease of doin"
business division,1,2-gram,IndiaAI,IndiaAI(24) | compute(8) | FutureSkills(5) | algorithm(3),28,1,"GD : The National e-Governance Division, an independent business division under Digital India Corporation and MeitY, is responsible f"
independent business division,1,3-gram,IndiaAI,IndiaAI(24) | compute(8) | FutureSkills(5) | algorithm(3),27,1,"About NeGD : The National e-Governance Division, an independent business division under Digital India Corporation and MeitY, is responsible f"
technology pvt ltd,1,3-gram,algorithm,algorithm(3),5,2,"ion in enclosed/indoor environment by NewSpace Research and Technology Pvt Ltd. to CAIR, DRDO. Simulator for Unmanned Ground, Marine (Se"
development of responsible,1,3-gram,algorithm,algorithm(3),5,1,"ith Mahatma Gandhi's vision of ‘Gram Swaraj’, fostering the development of responsible and responsive leadership at the grassroots level. This emp"
technology pvt,1,2-gram,algorithm,algorithm(3),5,2,"ion in enclosed/indoor environment by NewSpace Research and Technology Pvt Ltd. to CAIR, DRDO. Simulator for Unmanned Ground, Marine"
security privacy,1,2-gram,algorithm,algorithm(3),5,1,
pvt ltd enabling,1,3-gram,algorithm,algorithm(3),4,1,
data for mitigating,1,3-gram,algorithm,algorithm(3),4,1,er confirmations. Other banks are also actively using the data for mitigating cyber frauds. With UPI being the most preferred payme
ltd enabling,1,2-gram,algorithm,algorithm(3),4,1,
technology raipur,1,2-gram,algorithm,algorithm(3),6,1,
framework for mitigating,1,3-gram,algorithm,algorithm(3),5,1,"elhi-NCR. These proactive measures provide a structured framework for mitigating air pollution arising from the National Highway operations,"
framework defence,1,2-gram,algorithm,algorithm(3),4,1,
algorithmic,1,1-gram,algorithm,algorithm(8),33,3,"werment of end-users, last-mile access, and avoid erroneous algorithmic bias. ii. Interoperability: Enable interoperability by"
unlearning,1,1-gram,algorithm,algorithm(7),21,4,". He underlined that it is important to work proactively on unlearning, reskilling and upskilling in the spirit of constant learni"
mitigation strategy,1,2-gram,algorithm,algorithm(5),9,3,"PARLIAMENT QUESTION; THE HEAT MITIGATION STRATEGY Several parts of the country, including States like Tamil"
engineering center,1,2-gram,algorithm,algorithm(3),7,2,"e country to have received Technology Approval from Telecom Engineering Center (TEC), a body under the Department of Telecommunications, G"
goi meity,1,2-gram,algorithm,algorithm(3),14,2,
center tec,1,2-gram,algorithm,algorithm(3),5,2,
engineering center tec,1,3-gram,algorithm,algorithm(3),5,2,
learning models,1,2-gram,deep learning,machine learning(22) | deep learning(8) | algorithm(3),33,5,ms to emphasise the importance of engaging in collaborative learning models and expand the partnership and networks through engagement
watermarking,1,1-gram,algorithm,algorithm(3),11,2,"seeks to foster innovative solutions in fingerprinting and watermarking technologies, encouraging participation from individuals, r"
detection tools,1,2-gram,algorithm,algorithm(3),13,3,ome of these sensors can be deployed as gas and heavy metal detection tools to monitor the environmental quality. Publications:
computing infrastructure,1,2-gram,FutureSkills,IndiaAI(16) | compute(13) | FutureSkills(8) | algorithm(3),35,2,uations indicate that developing a proof of concept on edge computing infrastructure in space is feasible and such a system is being conceived.
certification framework,1,2-gram,ChatGPT,algorithm(5) | ChatGPT(3),16,4,Introduction of a structured multi-stage assessment and certification framework for under-construction properties. Provision for Optional
learning disabilities,1,2-gram,ChatGPT,algorithm(4) | ChatGPT(3),15,4,"s and knowledge necessary to support students with specific learning disabilities. Secretary, Higher Education, Ministry for Education Sh"
diat pune,1,2-gram,algorithm,algorithm(3),9,3,
diat,1,1-gram,algorithm,algorithm(3),11,3,"-New Delhi, DoT-New Delhi, MeitY-New Delhi, TEC- New Delhi, DIAT-Pune, MCTE-Mhow, C-DOT-New Delhi along with teams from CSIR"
application development,1,2-gram,FutureSkills,IndiaAI(30) | compute(22) | FutureSkills(17) | algorithm(3),48,5,"ng, satellite manufacturing, ground segment operations, and application development, the sector is rapidly growing. Many of these startups have"
ibd,1,1-gram,algorithm,algorithm(3),23,4,"ndrome, diabetes, CVD, stroke, Asthma, COPD, Migraine, IBS, IBD, Arthritis, Autoimmune diseases, cancer, neurodegenerative"
vidyapeetham,1,1-gram,algorithm,algorithm(5),23,7,"s. Twelve PhD Students, from Anna University, Amrita Vishwa Vidyapeetham, Thapar University, NIT Surathkal, IIT Gandhinagar, IIT Hyd"
gpus,1,1-gram,FutureSkills,compute(41) | IndiaAI(39) | FutureSkills(16) | ChatGPT(4) | algorithm(3),64,5,"ce, holds very high-value due to its use in designing CPUs, GPUs, and sustainable products for the country. India toda"
health care systems,1,3-gram,algorithm,algorithm(3),9,5,"“The preventive and promotive approach of our traditional health care systems has played a significant role in modern age today, proving"
critical applications,1,2-gram,algorithm,algorithm(3),16,5,"cess to remote and underserved regions, while strengthening critical applications in defence and disaster response. Through the power of spac"
healthier crops,1,2-gram,pest surveillance,chatbot(16) | machine learning(16) | pest surveillance(16) | analytics(12),17,1,"de from the sawdust enriches the soil, helping farmers grow healthier crops. And in the food industry, the sawdust can be moulded into"
produce due,1,2-gram,pest surveillance,chatbot(15) | machine learning(15) | pest surveillance(15) | analytics(12),16,1,. They also face tremendous challenges in marketing their produce due to lack of economic strength. FPOs help in collectivizati
issues enabling timely,1,3-gram,pest surveillance,chatbot(14) | machine learning(14) | pest surveillance(14),15,1,
reduce crop losses,1,3-gram,pest surveillance,pest surveillance(14) | chatbot(13) | machine learning(12),15,2,"for a hub-and-spoke model of post-harvest infrastructure to reduce crop losses along the entire value chain, from the farm to the market."
pest infestation,1,2-gram,pest surveillance,chatbot(13) | machine learning(13) | pest surveillance(13),15,1,uires 20% less water. Efforts have also been made to reduce pest infestation along with production. Shri Chouhan informed that Prime M
developed to assist,1,3-gram,pest surveillance,machine learning(15) | chatbot(13) | pest surveillance(12),19,1,to 17 States and 3 Union Territories. The SOP has been developed to assist State Biodiversity Boards and Union Territory Biodiversity
voice based,1,2-gram,pest surveillance,chatbot(24) | Bhashini(17) | pest surveillance(13) | language translation(7),44,3,
capture images,1,2-gram,pest surveillance,chatbot(12) | machine learning(11) | pest surveillance(11),13,1,"S-R), and SiC UV Dosimeter. The EOIR payload is designed to capture images in the Mid-Wave IR (MIR) and Long-Wave IR (LWIR) bands, bot"
tamil bengali,1,2-gram,chatbot,chatbot(8),9,1,
enabling timely intervention,1,3-gram,pest surveillance,chatbot(15) | pest surveillance(15),18,2,"detection through regular health check-ups and screenings, enabling timely intervention through home visits, group meetings, and participation in h"
multilingual interfaces,1,2-gram,chatbot,chatbot(7),15,1,"services through disabled-friendly ICT-enabled facilities, multilingual interfaces and user-centric service delivery. Continuous efforts h"
ocms,1,1-gram,chatbot,analytics(12) | chatbot(7),19,1,"tries/Departments on the Online Computer Monitoring System (OCMS) Portal of MoSPl. Further, this Ministry also releases peri"
whatsapp sms email,1,3-gram,chatbot,chatbot(7),5,1,
diverse linguistic backgrounds,1,3-gram,language translation,chatbot(7) | Bhashini(7) | language translation(5),13,1,"as 15 languages to ensure accessibility for aspirants from diverse linguistic backgrounds. This multi-city, multi-shift and multilingual framework re"
currently used,1,2-gram,pest surveillance,chatbot(12) | pest surveillance(12),18,2,"the combination of metal ions and organic molecules and are currently used for electrolysis of water. However, they have a limitation."
based kyc,1,2-gram,chatbot,chatbot(6),3,1,eractions with fintechs ecosystem and also working on video-based KYC projects in their regulatory sandbox framework. Se
grievance filing,1,2-gram,chatbot,chatbot(6),9,2,"cerned, Smt. Anamika filed a grievance on CPGRAMS. Post the grievance filing, Smt. Anamika's claims were reviewed and she was paid her m"
received by nch,1,3-gram,chatbot,chatbot(6),8,1,"tly boosted its call-handling capacity. The number of calls received by NCH has grown more than tenfold from 12,553 in December 2015 to"
satellite based crop,1,3-gram,pest surveillance,chatbot(6) | pest surveillance(6),9,1,
crop health assessment,1,3-gram,pest surveillance,chatbot(6) | pest surveillance(6),7,1,"ations i.e Crop production forecasting, drought monitoring, Crop health assessment and in Crop insurance solutions and in future also Departme"
npss,1,1-gram,pest surveillance,pest surveillance(14) | chatbot(6),15,5,"Information on crop Situation, Pest Surveillance through NPSS, Collect photos, uploading photo s INR 1000 per year"
bharat vistaar,1,2-gram,pest surveillance,chatbot(6) | pest surveillance(4),19,1,"ate advice over the phone through numbers like 155261, like Bharat Vistaar – Kisan Sarathi, and digital platforms – for every problem"
supports multiple,1,2-gram,pest surveillance,chatbot(5) | pest surveillance(5),10,2,"Mechanism (INGRAM) . This omni-channel IT-enabled platform supports multiple registration modes including WhatsApp, SMS, email, NCH app,"
farmers can complete,1,3-gram,chatbot,chatbot(5),6,1,"inancial institutions are expected to set up stalls where farmers can complete applications, documentation and even receive on-the-spot ap"
financial support directly,1,3-gram,chatbot,chatbot(5),6,1,ned. Ministry of Tribal Affairs per se does not provide financial support directly to tribal artists for the preservation and performance of t
eligible farmer family,1,3-gram,chatbot,chatbot(5),9,2,"19, provides annual financial assistance of Rs. 6,000/- per eligible farmer family. So far, more than Rs. 3.46 lakh crores have been disbursed"
confonet,1,1-gram,chatbot,chatbot(5),11,1,", transparency, accessibility and responsiveness. Under CONFONET scheme, VC equipment for conducting hearing through video c"
languages english hindi,1,3-gram,chatbot,chatbot(5),7,1,
benefit status,1,2-gram,chatbot,chatbot(5),6,1,Centre Grants Section 54EC Tax Benefit Status to IREDA Bonds Central Board of Direct Taxes (CBDT) under
process more seamless,1,3-gram,chatbot,chatbot(5),6,1,"th full technical support from MeitY and UIDAI, to make the process more seamless and convenient for the elderly. The outreach is being a"
nch has grown,1,3-gram,chatbot,chatbot(5),7,1,"nvenience and flexibility to consumers. Over the years, NCH has grown into a robust ecosystem collaborating with 1,142 convergenc"
report drug,1,2-gram,chatbot,chatbot(5),6,1,"ens a seamless, confidential and multi-channel interface to report drug-related issues and access rehabilitation resources. Citizen"
supports indian languages,1,3-gram,large language model,Bhashini(8) | language translation(6) | chatbot(5) | large language model(5) | language model(5) | pest surveillance(4),1,1,"vernment is not opposed to the English language, but firmly supports Indian languages. Remarking that the crime committed by Macaulay against"
assessment and crop,1,3-gram,pest surveillance,chatbot(5) | pest surveillance(5),6,1,
system frs,1,2-gram,Safe City,facial recognition(28) | face recognition(9) | Safe City(5),34,4,
recognition system,1,2-gram,facial recognition,facial recognition(28) | face recognition(12),43,9,be given from Nirbhaya fund to install CCTV cameras & face recognition system in the stations across the country so as to stop crime agai
distribution of take,1,3-gram,facial recognition,facial recognition(12),14,1,"ifestyles such as reducing obesity local and regional food, distribution of Take-Home Ration (THR). Focusing on women's health, including"
facial,1,1-gram,facial recognition,facial recognition(72) | face recognition(8),95,9,Use of Facial Authentication Technology by the EPS pensioners for Digital
mile tracking,1,2-gram,facial recognition,facial recognition(18),22,2,"art from strengthening digital infrastructure support, last mile tracking and Jan Sahabhagita. Mission Shakti has two sub-schemes -‘S"
last mile tracking,1,3-gram,facial recognition,facial recognition(18),22,2,"s, apart from strengthening digital infrastructure support, last mile tracking and Jan Sahabhagita. Mission Shakti has two sub-schemes -‘S"
using facial,1,2-gram,facial recognition,facial recognition(9),12,1,to the mother/parents of the children at Anganwadi Centers using Facial Recogntion System (FRS). A normal child is provided 200 Kca
video surveillance system,1,3-gram,Safe City,facial recognition(8) | Safe City(4) | ANPR(3),15,1,"es of ethanol blended as of August 31, 2024. Modern Video Surveillance System: DFPD has taken initiative to install Modern Video Surveill"
poshan mission,1,2-gram,facial recognition,facial recognition(8),1,1,"Mission to inspire the youth to give importance to fitness, Poshan Mission to provide children with nutritious meals, Mission Indradha"
ration to ensure,1,3-gram,facial recognition,facial recognition(8),9,1,
prevention of leakages,1,3-gram,facial recognition,facial recognition(7),8,1,"enges, and ongoing work in the areas of revenue assessment, prevention of leakages, pension service delivery, and strengthening of internal au"
tracking platform,1,2-gram,Safe City,facial recognition(6) | Safe City(5),12,1,"ices (NLDSL), LDB 2.0 is a significantly enhanced logistics tracking platform that enables export container tracking on high seas along w"
block coordinators,1,2-gram,facial recognition,facial recognition(6),8,1,"ts across NCT of Delhi. District program officers, Block coordinators, Supervisors, AWW attended live webcast of closing ceremony"
eliminating ghost,1,2-gram,facial recognition,facial recognition(6),7,1,"underscores DBT’s role in optimising fiscal allocations. By eliminating ghost beneficiaries and middlemen, the system redirected funds to"
tsrtc,1,1-gram,Safe City,facial recognition(5) | Safe City(4),9,1,"bus stations in Telangana State Road Transport Corporation (TSRTC), 2 bus stations in Tamil Nadu State Transport Corporation"
umbrella scheme where,1,3-gram,facial recognition,facial recognition(5),7,1,States and UTs. This mission is a universal self-selecting umbrella scheme where there are no entry barriers for any beneficiary to register
receive services,1,2-gram,facial recognition,facial recognition(5),7,1,e are no entry barriers for any beneficiary to register and receive services. This mission is being implemented across the country inclu
chennai delhi hyderabad,1,3-gram,Safe City,Safe City(7) | facial recognition(5),8,1,
hyderabad kolkata lucknow,1,3-gram,Safe City,Safe City(7) | facial recognition(5),8,1,
integrated emergency response,1,3-gram,Safe City,facial recognition(5) | Safe City(5),6,1,"district level. He emphasized that improved infrastructure, integrated emergency response systems and trained human resources will play a crucial rol"
emergency response management,1,3-gram,Safe City,facial recognition(5) | Safe City(5),6,1,aging technology in programmes like immunisation and health emergency response management . The Hon’ble Minister expressed his concern about growing
integrated emergency,1,2-gram,Safe City,Safe City(6) | facial recognition(5),7,1,"district level. He emphasized that improved infrastructure, integrated emergency response systems and trained human resources will play a cr"
ensure safe transportation,1,3-gram,Safe City,facial recognition(5) | Safe City(4),6,1,"uction and maintenance of shelters, the concessionaire will ensure safe transportation of stray cattle to these facilities, provide feed and enfor"
registered beneficiary,1,2-gram,facial recognition,facial recognition(5),6,1,has no relevance. Because APBS is applicable only in case a registered beneficiary turns ups for wage employment. The Government of India has
frs,1,1-gram,facial recognition,facial recognition(30) | face recognition(11),49,11,"ty Reports (PFRs) of all the 30 links, Feasibility Reports (FRs) of 24 links and Detailed Project Reports (DPRs) of 11 link"
given only,1,2-gram,facial recognition,facial recognition(16),22,4,"love reading. And I myself have this rare disease and I was given only two years to live but with help of my mom, my sister, my Sc"
district coordinators,1,2-gram,facial recognition,facial recognition(4),5,1,WWs to ensure uninterrupted service delivery. Block and District coordinators provide on-ground handholding support to AWWs and superviso
poshan helpline,1,2-gram,facial recognition,facial recognition(4),8,2,t girls and young mothers and reposition platforms like the Poshan Helpline from being grievance centres to platforms for citizen engag
officers block coordinators,1,3-gram,facial recognition,facial recognition(4),5,1,
officers block,1,2-gram,facial recognition,facial recognition(4),5,1,
specific projects like,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,". The Government of Andhra Pradesh has reported that no specific projects like (i) Genetic Improvement Programmes, (ii) Nucleus Breeding C"
corporation upsrtc,1,2-gram,Safe City,facial recognition(4) | Safe City(4),5,1,
transport corporation tsrtc,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,
like vehicle tracking,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,"o the country. It will be utilized for ongoing applications like vehicle tracking, real-time train tracking, fishing vessel communication and"
projects like integrated,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,of-the-art boxing academy in the name of Jaslal Pradhan Ji. Projects like Integrated Sports and Cultural Village are also moving forward. This w
upsrtc,1,1-gram,Safe City,facial recognition(4) | Safe City(4),6,1,"stations in Uttar Pradesh State Road Transport Corporation (UPSRTC). The States/ UTs including Delhi, Goa, Chandigarh and Megh"
transportation for women,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,"rs ensure their safety. It also requires employers to offer transportation for women working at night, reinforcing protection for female employe"
corporation tsrtc,1,2-gram,Safe City,facial recognition(4) | Safe City(4),5,1,
telangana state road,1,3-gram,Safe City,facial recognition(4) | Safe City(4),6,1,"to which Feeding Rooms are available in 26 bus stations in Telangana State Road Transport Corporation (TSRTC), 2 bus stations in Tamil Nadu"
safety of public,1,3-gram,Safe City,facial recognition(4) | Safe City(4),5,1,"ectric Supply Measures: Provides guidelines to ensure the safety of public, workers, and equipment during the generation, transmission"
vides,1,1-gram,ANPR,ANPR(6),7,1,"ing up shelters. Furthermore, states and UTs were requested vides a letter dated 27.03.2023 to allocate land and facilities f"
video incident,1,2-gram,ANPR,ANPR(6),7,1,"ensure that components such as Traffic Monitoring Cameras, Video Incident Detection Systems, Variable Speed Detection Systems, Variab"
video incident detection,1,3-gram,ANPR,ANPR(6),7,1,"ensure that components such as Traffic Monitoring Cameras, Video Incident Detection Systems, Variable Speed Detection Systems, Variable Message"
less tolling,1,2-gram,ANPR,ANPR(10),12,2,"ulti-Lane Free Flow (MLFF) system, that will enable barrier less tolling on the National Highway network. The amendments have be"
barrier less tolling,1,3-gram,ANPR,ANPR(10),12,2,"of the Multi-Lane Free Flow (MLFF) system, that will enable barrier less tolling on the National Highway network. The amendments have be"
wim,1,1-gram,ANPR,ANPR(5),6,1,nt movement of goods across National Highways seamless with WIM. ***** GDH / DS
efficiency in toll,1,3-gram,ANPR,ANPR(5),8,1,by highway users is encouraging and has helped in increased efficiency in toll operations. Impact Assessment conducted for the Nation
electronic notice,1,2-gram,ANPR,ANPR(5),6,1,"r fee, notified under Rule 14, includes a technology-driven Electronic Notice (e-notice) system, wherein electronic notices will be issue"
enhance fuel,1,2-gram,ANPR,ANPR(5),6,1,"c coking coal production, improve coal washing practices to enhance fuel quality, and promote the adoption of advanced coke-making a"
accounts in case,1,3-gram,ANPR,ANPR(5),6,1,"r children. However, there is an exception allowed for more accounts in case of twins or triplets. The account can be transferred to any"
flow tolling system,1,3-gram,ANPR,ANPR(5),6,1,arious aspects related to smooth implementation of the free-flow tolling system based on GNSS technology in India. Union Minister for
border entry points,1,3-gram,ANPR,ANPR(4),5,1,all enforcement agencies to ensure effective monitoring at border entry points . The CAQM also review ed Direction No. 89 dated 23.04.
border entry,1,2-gram,ANPR,ANPR(4),5,1,all enforcement agencies to ensure effective monitoring at border entry points . The CAQM also review ed Direction No. 89 dated
chorayasi,1,1-gram,ANPR,ANPR(4),5,1,nda NH-44 in Haryana Awarded 2 Chorayasi NH-48 in Gujarat Awarded 3 Dau
ensuring seamless traffic,1,3-gram,ANPR,ANPR(4),5,1,"vice roads and RUBS, promises to alleviate city congestion, ensuring seamless traffic flow. मैसूरू, कर्नाटक में ₹4,000 करोड़ की लागत वाली 22"
intervention enabling,1,2-gram,ANPR,ANPR(4),5,1,gn. It remains a reference case of coordinated Centre–State intervention enabling commissioning in challenging terrain with sustained operati
toll locations,1,2-gram,ANPR,ANPR(4),5,1,"along with ORS and glucose, has been made mandatory at all toll locations. To ensure compliance, NHAI field officials will conduct we"
mlff framework,1,2-gram,ANPR,ANPR(4),5,1,"ives such as Multi-Lane Free Flow (MLFF) tolling. Under the MLFF framework, enforcement actions including issuance of electronic notic"
seamless traffic flow,1,3-gram,ANPR,ANPR(4),5,1,"s and RUBS, promises to alleviate city congestion, ensuring seamless traffic flow. मैसूरू, कर्नाटक में ₹4,000 करोड़ की लागत वाली 22 राष्ट"
physical toll,1,2-gram,ANPR,ANPR(4),6,1,"h challenges of weather, mechanical issues of the yatch and physical toll. The Mumbai-Sychelles-Mumbai expedition not only symbol"
mlff,1,1-gram,ANPR,ANPR(11),17,3,"tives like the Annual Pass System and Multi-Lane Free Flow (MLFF) tolling, it is critical to address this issue to ensure FA"
based tolling,1,2-gram,ANPR,ANPR(7),9,2,lling leading to hassle-free riding experience and distance-based tolling where users will pay only for the stretch they have travell
free flow mlff,1,3-gram,ANPR,ANPR(10),16,3,
flow mlff,1,2-gram,ANPR,ANPR(10),16,3,
based video,1,2-gram,ANPR,ANPR(6),19,2,"ties for water quality testing laboratories. The mobile-based video conferencing format, enabled participants to connect direct"
highways thereby improving,1,3-gram,ANPR,ANPR(3),4,1,
improving the response,1,3-gram,ANPR,ANPR(3),4,1,"ce of this survey and to improve their cooperation, thereby improving the response rate. In order to ensure data quality, multilayer validatio"
devices which help,1,3-gram,ANPR,ANPR(3),4,1,NHs. ATMS has provisions for various electronic enforcement devices which help in speedy identification of incidents (including traffic vi
identification of incidents,1,3-gram,ANPR,ANPR(3),6,1,various electronic enforcement devices which help in speedy identification of incidents (including traffic violations) on the highway stretches and
standalone projects,1,2-gram,ANPR,ANPR(3),6,1,"rt of scope of development / maintenance works on NHs or as standalone projects in certain cases. Out of total 13,795 black spots identifie"
speedy identification,1,2-gram,ANPR,ANPR(3),4,1,ns for various electronic enforcement devices which help in speedy identification of incidents (including traffic violations) on the highway
enforcement devices which,1,3-gram,ANPR,ANPR(3),4,1,e and above NHs. ATMS has provisions for various electronic enforcement devices which help in speedy identification of incidents (including traff
using voice,1,2-gram,language translation,predictive(5) | Bhashini(5) | language translation(4),9,2,ard and take effective measures to curb bulk communications using voice calls. ***** AD/DK
itu international,1,2-gram,predictive,predictive(5),6,1,
itu international telecommunication,1,3-gram,predictive,predictive(5),6,1,
image analysis,1,2-gram,GPT,predictive(5) | GPT(3),7,1,"126. IC-74334K LT COL RICHA DATT, DY DIR (IMAGE ANALYSIS SECTION), DIPAC, DSA ARMY 127. 41236"
equitable and affordable,1,3-gram,predictive,predictive(5),6,1,sparency and competition in the DLC market and facilitating equitable and affordable access to DLCs across regions and categories of users. This
tools support,1,2-gram,predictive,predictive(5),8,1,"egularly monitor enterprise performance and growth. Digital tools support business planning, loan appraisal, and enterprise tracking."
governance and improve,1,3-gram,predictive,predictive(5),8,1,"ation measures. Data and Statistics To enhance data governance and improve the processes of data collection, processing, and managemen"
studies research,1,2-gram,predictive,predictive(4),9,1,
tec represents,1,2-gram,predictive,predictive(4),9,1,"ability, quality, and alignment with global best practices. TEC represents India in international fora such as the ITU-T and ITU-R, an"
collaboration on joint,1,3-gram,predictive,predictive(4),10,1,nternational events related to traditional medicine. Collaboration on joint training programs for industries or entities involved in th
tec signs mou,1,3-gram,predictive,predictive(4),8,1,TEC Signs MoU with IIIT Naya Raipur to Advance Next-Generation Telecom Te
conformity assessment requirements,1,3-gram,predictive,predictive(4),9,1,"ia. TEC formulates technical standards, specifications, and conformity assessment requirements for telecom equipment and networks in India, ensuring inter"
solutions that bolster,1,3-gram,predictive,predictive(4),8,1,"dia can unlock the potential for sustainable worker housing solutions that bolster the manufacturing ecosystem, enhance workforce productivity"
standardization sector,1,2-gram,predictive,predictive(4),11,1,"orks, following the E.164 series of ITU’s Telecommunication Standardization Sector (ITU-T) Recommendations. In 2003, the DoT conducted a compr"
assessment requirements,1,2-gram,predictive,predictive(4),9,1,"mulates technical standards, specifications, and conformity assessment requirements for telecom equipment and networks in India, ensuring inter"
specifications and conformity,1,3-gram,predictive,predictive(4),9,1,
practices tec,1,2-gram,predictive,predictive(4),9,1,
coordinates national working,1,3-gram,predictive,predictive(4),9,1,"ndia in international fora such as the ITU-T and ITU-R, and coordinates National Working Groups for global standardization activities. F"
telecommunication standardization sector,1,3-gram,predictive,predictive(4),9,1,"ed and mobile networks, following the E.164 series of ITU’s Telecommunication Standardization Sector (ITU-T) Recommendations. In 2003, the DoT conducted a compr"
tec signs,1,2-gram,predictive,predictive(4),8,1,TEC Signs MoU with IIIT Naya Raipur to Advance Next-Generation Teleco
standards and test,1,3-gram,predictive,predictive(4),7,1,"y leveraging domestic expertise and creating India-specific standards and test frameworks, the partnership will strengthen the nation’s se"
mitigation centre cfmc,1,3-gram,analytics,analytics(19),20,1,
give visibility,1,2-gram,analytics,analytics(19),21,1,mes will not only promote sports at the grassroots but also give visibility to disciplines and communities that have historically been
centre cfmc,1,2-gram,analytics,analytics(19),20,1,
cfmc,1,1-gram,analytics,analytics(19),20,1,"aints. A State of the Art, Cyber Fraud Mitigation Centre (CFMC) has been established at I4C where representatives of major"
cybercrime complaints,1,2-gram,analytics,analytics(18),23,1,and transferring them to jurisdictional police stations in Cybercrime complaints of a specified nature reported on NCRP. This initiative
crimes and criminals,1,3-gram,analytics,analytics(18),20,1,"cing, effective law and order, and effective action against crimes and criminals are necessary. He said that the role of BPR&D in police mod"
platform data,1,2-gram,analytics,analytics(18),21,1,
financial intermediaries,1,2-gram,analytics,analytics(18),21,1,"en established at I4C where representatives of major banks, Financial Intermediaries, Payment Aggregators, Telecom Service Providers, IT Interme"
action and seamless,1,3-gram,analytics,analytics(17),18,1,"s Law Enforcement Agency are working together for immediate action and seamless cooperation to tackle cybercrime. So far, more than 9.42"
uts law enforcement,1,3-gram,analytics,analytics(17),18,1,"Providers, IT Intermediaries and representatives of States/UTs Law Enforcement Agency are working together for immediate action and seamle"
banks financial intermediaries,1,3-gram,analytics,analytics(17),18,1,
intermediaries payment aggregators,1,3-gram,analytics,analytics(17),18,1,
payment aggregators telecom,1,3-gram,analytics,analytics(17),18,1,
together for immediate,1,3-gram,analytics,analytics(17),18,1,sentatives of States/UTs Law Enforcement Agency are working together for immediate action and seamless cooperation to tackle cybercrime. So
aggregators telecom service,1,3-gram,analytics,analytics(17),18,1,
financial intermediaries payment,1,3-gram,analytics,analytics(17),18,1,
uts law,1,2-gram,analytics,analytics(17),18,1,"Providers, IT Intermediaries and representatives of States/UTs Law Enforcement Agency are working together for immediate actio"
intermediaries payment,1,2-gram,analytics,analytics(17),18,1,
aggregators telecom,1,2-gram,analytics,analytics(17),18,1,
assessment infrastructure monitoring,1,3-gram,analytics,analytics(17),18,1,
providers it intermediaries,1,3-gram,analytics,analytics(16),17,1,
delayering,1,1-gram,analytics,analytics(16),18,1,"fice Procedure, adopted four pronged approach with focus on delayering, delegation, digitization and desk officer system was imple"
i4c where,1,2-gram,analytics,analytics(15),16,1,"yber Fraud Mitigation Centre (CFMC) has been established at I4C where representatives of major banks, Financial Intermediaries, P"
agency are working,1,3-gram,analytics,analytics(15),16,1,mediaries and representatives of States/UTs Law Enforcement Agency are working together for immediate action and seamless cooperation to t
