relid,release_date,ministry,title,matched_term,term_round,term_channel,term_primary_parent
277538,2025-10-15,Ministry of Defence,INDIAN NAVY TO ORGANISE SEMINAR ON ‘IMPACT OF CYBER ATTACKS ON MARITIME SECTOR AND ITS EFFECTS ON NATIONAL SECURITY AND INTERNATIONAL RELATIONS’,smart,0,seed,
277554,2025-10-15,PIB Headquarters,World Food Day 2025,smart,0,seed,
277556,2025-10-15,PIB Headquarters,Securing Every Plate,smart,0,seed,
277566,2025-10-15,Ministry of Shipping,Union Minister Shri Sarbananda Sonowal Marks Eight Maritime Projects as NMPA Marks Golden Jubilee,smart,0,seed,
277596,2025-10-16,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah addresses the conference organized by the CBI on “Extradition of Fugitives: Challenges and Strategies” in New Delhi",smart,0,seed,
277665,2025-10-17,Ministry of Agriculture & Farmers Welfare,FAO Celebrates 80 Years of Partnership with India on World Food Day 2025,smart,0,seed,
277683,2025-10-17,Ministry of Women and Child Development,8th Rashtriya Poshan Maah 2025 concludes in Dehradun: Nation Celebrates Nutrition and Empowerment,smart,0,seed,
277827,2025-10-23,Ministry of Defence,"DAC clears proposals, worth about Rs 79,000 crore, to enhance the capability of the Armed Forces",smart,0,seed,
277850,2025-10-24,PIB Headquarters,National Blockchain Framework,smart,0,seed,
277874,2025-10-24,Ministry of Communications,TEC signs MoU with IIIT-Hyderabad for collaboration on Joint Studies and Technical Contributions in Telecom Technologies and Standardisation Activities,smart,0,seed,
277876,2025-10-24,Ministry of Commerce & Industry,Bharat International Rice Conference (BIRC) 2025 to position India’s Leadership in Global Rice Supply Chain,smart,0,seed,
277877,2025-10-24,Ministry of Finance,"Union Finance and Corporate Affairs Minister Smt. Nirmala Sitharaman inaugurates newly-constructed Central Goods and Services Tax (CGST) Bhawan, in Ghaziabad, today",smart,0,seed,
277915,2025-10-26,PIB Headquarters,Maritime India,smart,0,seed,
277922,2025-10-26,PIB Headquarters,Building a Viksit Bharat with 6G,smart,0,seed,
277984,2025-10-28,PIB Headquarters,Elderly in India,smart,0,seed,
277991,2025-10-28,Ministry of Coal,Ministry of Coal is Set to Launch “Koyla Shakti” – Smart Coal Analytics Dashboard,smart,0,seed,
278007,2025-10-28,Ministry of Road Transport & Highways,"Union Minister Shri Nitin Gadkari says infrastructure must be people-centric, ensuring comfort and convenience for citizens ; 670 road-side amenities have been developed across the country",smart,0,seed,
278034,2025-10-29,Prime Minister's Office,PM to visit Gujarat on 30-31 October,smart,0,seed,
278054,2025-10-29,Ministry of Communications,Department of Telecommunications (DoT) aims to implement Samriddh Gram Phygital Services Pilot Project to Bridge the Digital Divide in Rural India,smart,0,seed,
278057,2025-10-29,Prime Minister's Office,Prime Minister Shri Narendra Modi addresses Maritime Leaders Conclave at India Maritime Week 2025 in Mumbai,smart,0,seed,
278062,2025-10-29,Ministry of Commerce & Industry,Koyla Shakti Dashboard Launched to Drive Digital Transformation in India’s Coal and Logistics Ecosystem,smart,0,seed,
278063,2025-10-29,Prime Minister's Office,English rendering of PM’s address at the Maritime Leaders Conclave in Mumbai,smart,0,seed,
278068,2025-10-29,Ministry of Coal,Union Minister of Coal and Mines Shri G. Kishan Reddy Launches KOYLA SHAKTI Dashboard and CLAMP,smart,0,seed,
278138,2025-10-31,PIB Headquarters,Mera Yuva Bharat,smart,0,seed,
278140,2025-10-31,Prime Minister's Office,PM to Visit Chhattisgarh on 1st November,smart,0,seed,
278149,2025-10-31,"Ministry of Fisheries, Animal Husbandry & Dairying","Marine Fisheries Census 2025 Goes Fully Digital; VYAS Apps to Enable Real-Time, Geo-Referenced Data Collection",smart,0,seed,
278250,2025-11-01,Prime Minister's Office,Prime Minister Shri Narendra Modi addresses the Chhattisgarh Rajat Mahotsav,smart,0,seed,
278265,2025-11-01,Ministry for Development of North-East Region,Jyotiraditya Scindia lays foundation stone for Integrated Sohra Tourism Circuit under PM-DevINE,smart,0,seed,
278310,2025-11-03,Ministry of Defence,"Special Campaign 5.0- Department of Defence undertakes cleanliness drives in 5,377 locations across the country",smart,0,seed,
278314,2025-11-03,NITI Aayog,NITI Aayog Unveils “Reimagining Agriculture: A Roadmap for Frontier Technology Led Transformation”,smart,0,seed,
278324,2025-11-03,"Ministry of Personnel, Public Grievances & Pensions","Dr. Jitendra Singh, MOS (PP) inaugurates Mega Pensioners' Camp organized by State Bank of India on 3rd November, 2025 at NDMC Convention Hall, Delhi under Nationwide ""Digital Life Certificate"" Campaign 4.0",smart,0,seed,
278340,2025-11-03,Ministry for Development of North-East Region,Union Minister Jyotiraditya Scindia hails the growth of Indo-French ties at the Indo-French North-East Investment Forum in Guwahati,smart,0,seed,
278349,2025-11-04,PIB Headquarters,Agricultural Education & Training in India,smart,0,seed,
278416,2025-11-05,Ministry of Science & Technology,CSIR Showcases India’s Leap in Advanced Materials and Manufacturing at ESTIC 2025,smart,0,seed,
278459,2025-11-06,Ministry of Earth Science,India calls for people-led climate action; stresses policy–technology–youth synergy for sustainable urban futures: Dr. Jitendra Singh,smart,0,seed,
278499,2025-11-07,Ministry of Parliamentary Affairs,Ministry of Parliamentary Affairs concludes Special Campaign 5.0 with exemplary results across all focus areas,smart,0,seed,
278532,2025-11-08,"Ministry of Personnel, Public Grievances & Pensions","Shri V Srinivas, Secretary (P&PW), inaugurates Mega Camp organized by Punjab National Bank on 7th November, 2025 at Sansad Marg Branch, Delhi under Nationwide DLC Campaign 4.0",smart,0,seed,
278539,2025-11-08,Ministry of Housing and Urban Poverty Alleviation,"Union Minister Shri Manohar Lal inaugurates National Urban Conclave 2025 at Yashobhoomi, New Delhi",smart,0,seed,
278573,2025-11-09,Ministry of Housing and Urban Poverty Alleviation,18th Urban Mobility India (UMI) Conference & Exhibition 2024,smart,0,seed,
278582,2025-11-10,PIB Headquarters,From Urban Hubs to Rural Heartlands,smart,0,seed,
278590,2025-11-10,Ministry of Youth Affairs and Sports,PM Modi’s Vision For Amrit Peedhi Drives Record VBYLD 2026 Participation,smart,0,seed,
278631,2025-11-11,PIB Headquarters,Redefining India’s Highways,smart,0,seed,
278687,2025-11-12,Ministry of Science & Technology,Council of Scientific & Industrial Research (CSIR) and National Industrial Corridor Development Corporation (NICDC) Partner to Drive Innovation Across India’s Industrial Corridors,smart,0,seed,
278722,2025-11-13,PIB Headquarters,From 2 to 597: Eklavya Schools Students Succeed in India's Toughest Exams,smart,0,seed,
278742,2025-11-13,"Ministry of Personnel, Public Grievances & Pensions","Hon’ble Dr. Jitendra Singh, MoS, Personnel, Public Grievances & Pensions, interacted with a 30-member delegation from Maldives led by Mr. Ahmed Salim, Minister of State, Ministry of Cities, Local Government and Public Works today at NCGG, New Delhi",smart,0,seed,
278779,2025-11-14,Ministry of Power,Shri Shripad Naik Inaugurates Ministry of Power Pavilion at 44th India International Trade Fair,smart,0,seed,
278795,2025-11-14,Ministry of Petroleum & Natural Gas,Shri Hardeep Singh Puri Holds Key Shipbuilding Meetings to Boost India’s Maritime Vision,smart,0,seed,
278815,2025-11-14,Ministry of Commerce & Industry,"India emerging as a trusted global partner with Andhra Pradesh contributing to Viksit Bharat @2047: Union Minister of Commerce and Industry, Shri Piyush Goyal",smart,0,seed,
278837,2025-11-15,Ministry of Petroleum & Natural Gas,Minister Hardeep Singh Puri visits Hanwha Ocean’s shipbuilding facility in South Korea,smart,0,seed,
278842,2025-11-15,Ministry of Electronics & IT,"Union Minister of State Jitin Prasada Inaugurates Digital India Pavilion at the 44th India International Trade Fair (IITF), Showcasing India’s Digital Transformation Journey",smart,0,seed,
278892,2025-11-17,Ministry of Electronics & IT,"India announces 2nd tranche of 17 approvals under Electronics Component Manufacturing Scheme (ECMS) - ? 7,172 crore investment, ? 65,111 crore production & 11,808 direct jobs",smart,0,seed,
278896,2025-11-17,Ministry of Housing and Urban Poverty Alleviation,From Markets to Monuments: Advancing Clean Toilets and Hygienic Spaces,smart,0,seed,
278912,2025-11-17,Ministry of Railways,Gati Shakti Vishwavidyalaya and DRDO Sign MoU to Develop Smart Tech Solutions for National Security,smart,0,seed,
278929,2025-11-18,Prime Minister's Office,PM to visit Andhra Pradesh and Tamil Nadu on 19th November,smart,0,seed,
278946,2025-11-18,"Ministry of Consumer Affairs, Food & Public Distribution","Union Minister Shri Pralhad Joshi announces Major Digital Upgrades to Strengthen Food Storage, Logistics and Public Distribution Systems",smart,0,seed,
278988,2025-11-19,Ministry of Commerce & Industry,"Union Minister of Commerce and Industry Shri Piyush Goyal to Visit Israel for High-Level Talks on Trade, Technology and Investment",smart,0,seed,
279001,2025-11-19,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Fisheries to Celebrate World Fisheries Day on 21st November 2025 in New Delhi,smart,0,seed,
279012,2025-11-19,Prime Minister's Office,"Prime Minister Shri Narendra Modi addresses the South India Natural Farming Summit 2025 at Coimbatore, Tamil Nadu",smart,0,seed,
279015,2025-11-19,Ministry of Housing and Urban Poverty Alleviation,World Toilet Day 2025,smart,0,seed,
279018,2025-11-19,Ministry of Health and Family Welfare,Regional Open Digital Health Summit 2025 Convenes in New Delhi to Advance Interoperability and GenAI for Global Health,smart,0,seed,
279021,2025-11-19,Ministry of Communications,India Post Unveils First Revamped Gen Z–Themed Campus Post Office at IIT Delhi Campus,smart,0,seed,
279054,2025-11-20,PIB Headquarters,Strengthening Marine Resources and Livelihoods: India Celebrates World Fisheries Day 2025,smart,0,seed,
279077,2025-11-21,PIB Headquarters,World Television Day 2025,smart,0,seed,
279079,2025-11-21,Ministry of Science & Technology,Flexible piezoelectric nanocomposites developed for biomedical and wearable sensors,smart,0,seed,
279081,2025-11-21,Ministry of Electronics & IT,"Countries Chart Path Forward with Interoperable, Standards-Based Health Ecosystems on Day Two of Regional Open Digital Health Summit 2025",smart,0,seed,
279106,2025-11-21,Ministry of Commerce & Industry,"Japan Bank for International Cooperation Governor Mr. Nobumitsu Hayashi led delegation visit to NICDC’s Flagship Industrial Park Dholera SIR, Gujarat",smart,0,seed,
279107,2025-11-21,"Ministry of Fisheries, Animal Husbandry & Dairying",India Unveils “National Framework on Traceability in Fisheries and Aquaculture 2025” as the Sector Marks a Major Leap on World Fisheries Day,smart,0,seed,
279109,2025-11-21,Ministry of Coal,CMPDI Celebrates 51st CIL & CMPDI Foundation Day,smart,0,seed,
279110,2025-11-21,Ministry of Agriculture & Farmers Welfare,Sixth International Agronomy Congress (IAC–2025) to be held in New Delhi from November 24 to 26,smart,0,seed,
279135,2025-11-22,Ministry of Textiles,Union Minister of Textiles Shri Giriraj Singh Visits NITRA Ghaziabad,smart,0,seed,
279143,2025-11-22,Ministry of Agriculture & Farmers Welfare,"Curtain raiser held for Sixth International Agronomy Congress 2025 at NASC, New Delhi",smart,0,seed,
279198,2025-11-24,Ministry of Agriculture & Farmers Welfare,Union Agriculture Minister Shri Shivraj Singh Chouhan Inaugurates the 6th International Agronomy Congress (IAC-2025),smart,0,seed,
279213,2025-11-24,Ministry of Defence,Aatmanirbhar Bharat: BEL and Safran Electronics & Defence ink Joint Venture Cooperation Agreement for production of HAMMER Smart Precision Guided Air-to-Ground Weapon in India,smart,0,seed,
279227,2025-11-24,Ministry of Youth Affairs and Sports,‘You Are the Hope of 1.4 Billion Indians’: Union Minister Dr. Mansukh Mandaviya Hails Athletes at KIUG 2025 Opening Ceromony,smart,0,seed,
279269,2025-11-25,Ministry of Defence,"India is entering a golden era of defence innovation; Our young entrepreneurs are helping the nation become a builder, creator & leader: Raksha Mantri at Swavlamban 2025",smart,0,seed,
279290,2025-11-26,AYUSH,CCRAS launches SIDDHI 2.0 to strengthen research-driven innovation in Ayurveda pharma sector,smart,0,seed,
279383,2025-11-27,Ministry of Textiles,"Government Approves ‘Tex-RAMPS’ Scheme to Strengthen Research, Innovation and Competitiveness in Textiles Sector",smart,0,seed,
279422,2025-11-28,PIB Headquarters,"Smart Finance, Smart Future: GIFT City",smart,0,seed,
279426,2025-11-27,Ministry of Defence,INDIAN NAVY’S SWAVLAMBAN SEMINAR 2025: DAY 2 PROCEEDINGS,smart,0,seed,
279456,2025-11-28,Vice President's Secretariat,Vice-President briefed on key initiatives and achievements of Housing & Urban Affairs and Power Ministries,smart,0,seed,
279466,2025-11-28,Ministry of Communications,"ITU- World Telecom Development Conference (WTDC )-2025 Concludes at Baku, Azerbaijan: India with Global & regional backing contributed for the efforts towards Universal, meaningful, and affordable connectivity for an inclusive and sustainable digital future",smart,0,seed,
279468,2025-11-28,Ministry of Shipping,India Re-elected to the IMO Council for 2026–27 with Highest Vote Tally,smart,0,seed,
279488,2025-11-29,AYUSH,India Strengthening Evidence-Based Integrative Approaches to Tackle Obesity & Metabolic Disorders: Ayush Minister,smart,0,seed,
279493,2025-11-29,Ministry of Shipping,"India Scores Highest Votes to be re-elected to IMO Council, Strengthens Global Maritime Role",smart,0,seed,
279509,2025-11-30,Vice President's Secretariat,Vice-President of India Shri C. P. Radhakrishnan Addresses the 20th Convocation of NIT Kurukshetra,smart,0,seed,
279519,2025-11-30,Ministry of Social Justice & Empowerment,ALIMCO Marks 53rd Foundation Day and Unveils New Logo and Next-Generation Mobility Solutions for Divyangjan,smart,0,seed,
279582,2025-12-01,Ministry of Youth Affairs and Sports,Over 2 crore Youth Registered on MY Bharat Portal,smart,0,seed,
279590,2025-12-01,Ministry of Skill Development and Entrepreneurship,Upgradation of ITIs and NSTIs,smart,0,seed,
279600,2025-12-01,Ministry of Minority Affairs,PM VIKAS is a Central Sector Scheme focusing on the socio-economic empowerment of six notified minorities through skill development; entrepreneurship among minority women; and education support for school dropouts,smart,0,seed,
279613,2025-12-01,Ministry of Jal Shakti,RIVER REJUVENATION AND POLLUTION CONTROL,smart,0,seed,
279614,2025-12-01,Ministry of Jal Shakti,SCIENTIFIC STUDY ON HEALTH HAZARD DUE TO RIVER POLLUTION,smart,0,seed,
279635,2025-12-02,PIB Headquarters,India’s Solar Momentum,smart,0,seed,
279644,2025-12-02,Ministry of Textiles,PROMOTION OF AGRO TEXTILES,smart,0,seed,
279730,2025-12-03,"Ministry of Environment, Forest and Climate Change.",Union Environment Minister Shri Bhupender Yadav reviews Air Quality Situation in Delhi-NCR; Directs Authorities from NCR States to accelerate on-ground implementation of Annual action Plans on Air Pollution Management,smart,0,seed,
279802,2025-12-03,Ministry of Social Justice & Empowerment,QUALITY EDUCATION OF SC STUDENTS,smart,0,seed,
279853,2025-12-04,Ministry of Tourism,Promotion and Growth of Tourism,smart,0,seed,
279872,2025-12-04,Ministry of Science & Technology,PARLIAMENT QUESTION: TRAFFIC SURVEY BY CRRI IN NANDED,smart,0,seed,
279895,2025-12-04,Ministry of Tribal Affairs,DIGITAL INFRASTRUCTURE IN TRIBAL DOMINATED AREAS,smart,0,seed,
279897,2025-12-04,Ministry of Tribal Affairs,MALNUTRITION DEATHS IN TRIBAL REGIONS,smart,0,seed,
279946,2025-12-04,Ministry of Jal Shakti,REUSE OF WASTEWATER AND RIVER REJUVENATION,smart,0,seed,
279978,2025-12-05,PIB Headquarters,From Classrooms to Creation Labs,smart,0,seed,
279986,2025-12-05,PIB Headquarters,"India International Science Festival (IISF), 2025",smart,0,seed,
279998,2025-12-05,Ministry of Electronics & IT,"Electronics manufacturing grows sixfold, exports grow eightfold in the last 11 years",smart,0,seed,
280003,2025-12-05,Ministry of Power,NATIONAL CONFERENCE SHOWCASING AI AND MACHINE LEARNING BASED SOLUTIONS IN THE POWER SECTOR BEGINS TOMORROW,smart,0,seed,
280039,2025-12-05,Ministry of Textiles,NATIONAL TECHNICAL TEXTILES MISSION,smart,0,seed,
280040,2025-12-05,Ministry of Textiles,INITIATIVE TO PROMOTE AGRO-TEXTILE TO ENHANCE AGRICULTURAL PRODUCTIVITY,smart,0,seed,
280050,2025-12-05,Ministry of Agriculture & Farmers Welfare,Growth of Agri-Tech Startups and Digital Agriculture Mission,smart,0,seed,
280053,2025-12-05,Office of Principal Scientific Advisor to GoI,Office of the Principal Scientific Adviser to the Government of India organises the International Science & Technology (S&T) Clusters Conference,smart,0,seed,
280059,2025-12-05,Ministry of Electronics & IT,Conference on “Harnessing AI and Digital Public Infrastructure (DPI) for Viksit Bharat”,smart,0,seed,
280067,2025-12-06,PIB Headquarters,India’s Solar Momentum,smart,0,seed,
280101,2025-12-07,Ministry of Power,"AI AND MACHINE LEARNING BASED APPLICATIONS TO PLAY PIVOTAL ROLE IN TRANSFORMING INDIA’S POWER SECTOR, SAYS SHRI MANOHAR LAL",smart,0,seed,
280102,2025-12-07,Ministry of Defence,Raksha Mantri dedicates to the nation 125 border infrastructure projects - the most in one go - from Ladakh,smart,0,seed,
280178,2025-12-08,Ministry of Power,Key Initiatives to Bring Down AT&C Losses of Power Distribution Utilities,smart,0,seed,
280181,2025-12-08,Ministry of Power,Smart Metering Adoption: 4.76 Crore Smart Meters Installed,smart,0,seed,
280182,2025-12-08,Ministry of Science & Technology,Industry Leaders Laud Prime Minister’s Vision for AI-Driven Viksit Bharat at IISF 2025,smart,0,seed,
280224,2025-12-09,Ministry of Textiles,DECLINE IN COTTON PRODUCTION,smart,0,seed,
280228,2025-12-09,Ministry of Textiles,GREAT SCHEME,smart,0,seed,
280244,2025-12-08,Ministry of Human Resource Development,3rd Australia-India Education and Skills Council meeting (AIESC) held in New Delhi today,smart,0,seed,
280255,2025-12-09,Ministry of Jal Shakti,"UNION MINISTER OF JAL SHAKTI, SHRI C. R. PATIL LAUNCHES 'JAL SHAKTI HACKATHON - 2025'",smart,0,seed,
280260,2025-12-09,Ministry of Shipping,"Sarbananda Sonowal Inaugurates 3rd Global IALA Council Session in Mumbai, Unveils Digital Portal for Lighthouse Tourism",smart,0,seed,
280299,2025-12-09,Ministry of Human Resource Development,Dr. Sukanta Majumdar addresses Smart India Hackathon 2025; interacts with participants across 7 nodal centres,smart,0,seed,
280317,2025-12-10,Ministry of Minority Affairs,"PMJVK is a Centrally Sponsored Scheme, one of the flagship program of the Ministry of Minority Affairs for creation of community infrastructure in the Minority Concentration Areas of the country",smart,0,seed,
280320,2025-12-10,Ministry of Home Affairs,CRIMES AGAINST WOMEN AND CHILDREN,smart,0,seed,
280323,2025-12-10,Ministry of Tribal Affairs,EMRSs in Odisha,smart,0,seed,
280355,2025-12-10,Department of Space,PARLIAMENT QUESTON: NAVIC NAVIGATION SYSTEMS,smart,0,seed,
280368,2025-12-10,Ministry of Science & Technology,PARLIAMENT QUESTION: BIOE3 POLICY FOR BIOMANUFACTURING,smart,0,seed,
280371,2025-12-10,Ministry of Science & Technology,PARLIAMENT QUESTION: SCIENTIFIC PROJECT HUB,smart,0,seed,
280430,2025-12-10,Ministry of Shipping,"Assam Movement Immortalised in New Memorial, Sarbananda Sonowal Says Its Spirit Lives On",smart,0,seed,
280436,2025-12-10,Ministry of Shipping,Varanasi to Witness Launch of India’s First Indigenous Hydrogen Fuel Cell Vessel as Union Minister Sarbananda Sonowal Flags Off Operations from Namo Ghat,smart,0,seed,
280439,2025-12-11,Ministry of Electronics & IT,IndiaAI Mission and Government of Gujarat hosting the Regional Conclave on AI for Good Governance ahead of India–AI Impact Summit 2026,smart,0,seed,
280480,2025-12-11,Ministry of Food Processing Industries,Mega Food Parks Projects under PMKSY,smart,0,seed,
280512,2025-12-11,"Ministry of Environment, Forest and Climate Change.",PARLIAMENT QUESTION: MONITORING OF CRZ NORMS,smart,0,seed,
280536,2025-12-11,Ministry of Power,Nationwide Push for Smart Prepaid Meters to Boost Distribution Efficiency and Better Consumer Services,smart,0,seed,
280590,2025-12-12,Ministry of Electronics & IT,"Semicon India Programme developing a complete ecosystem around design, fabrication, assembly, testing and packaging of Semiconductors",smart,0,seed,
280633,2025-12-12,Ministry of Finance,Government of India highlights rural transformation and development leadership at IFAD–India Day in Rome,smart,0,seed,
280646,2025-12-12,Ministry of Agriculture & Farmers Welfare,Support to Farmers to Enhance Sustainability of Agriculture,smart,0,seed,
280706,2025-12-14,"Ministry of Fisheries, Animal Husbandry & Dairying",Investment Opportunities in Lakshadweep,smart,0,seed,
280735,2025-12-15,PIB Headquarters,India’s Green Maritime Odyssey,smart,0,seed,
280743,2025-12-15,Ministry of Minority Affairs,Haj Suvidha Mobile App and fully digitized portal enables end-to-end online registration,smart,0,seed,
280754,2025-12-15,"Ministry of Environment, Forest and Climate Change.","Union Environment Minister Chairs High-Level Review of Air Pollution Action Plans of Ghaziabad and Noida, as part of Series of upcoming Review Meetings for Delhi-NCR",smart,0,seed,
280775,2025-12-15,Ministry of Power,International Partnerships and Domestic Reforms in India's Power Sector,smart,0,seed,
280798,2025-12-15,Ministry of Railways,Miyana Railway Station Receives National Energy Conservation Award 2025 from the President of India,smart,0,seed,
280804,2025-12-15,Ministry of Finance,"India, ADB sign loans worth over $2.2 billion for development projects",smart,0,seed,
280887,2025-12-16,Ministry of Agriculture & Farmers Welfare,Government Promotes AI and Drone Technologies to Boost Agricultural Productivity and Farmer Livelihoods,smart,0,seed,
280890,2025-12-16,Ministry of Science & Technology,Achievements of Department of Biotechnology- Year Ender 2025,smart,0,seed,
280892,2025-12-16,Ministry of Science & Technology,Department of Science and Technology- Year Ender 2025,smart,0,seed,
280893,2025-12-16,Ministry of Science & Technology,Department of Scientific and Industrial Research (DSIR)- Year Ender 2025,smart,0,seed,
280911,2025-12-16,Ministry of Electronics & IT,"IndiaAI Mission, Government of Maharashtra’s AI and Agritech Innovation Center, supported by the World Bank and Wadhwani AI Invite Global Submissions for Compendium on the Real-World Impact of AI in Agriculture",smart,0,seed,
280924,2025-12-17,"Ministry of Fisheries, Animal Husbandry & Dairying",Fisheries and Aquaculture,smart,0,seed,
280989,2025-12-17,Ministry of Tribal Affairs,EMRS IN KARNATAKA,smart,0,seed,
281010,2025-12-17,Ministry of Earth Science,PARLIAMENT QUESTION: RISING THREATS OF CLIMATE CHANGE,smart,0,seed,
281012,2025-12-17,Ministry of Earth Science,PARLIAMENT QUESTION: MONSOON WARNING SYSTEM,smart,0,seed,
281027,2025-12-17,Ministry of Science & Technology,PARLIAMENT QUESTION: TECHNOLOGY DEVELOPMENT FOR DISASTER MANAGEMENT AND CLIMATE RESILIENCE,smart,0,seed,
281036,2025-12-17,Ministry of Science & Technology,Geospatial Technologies a Foundational Pillar of Viksit Bharat: Dr. Jitendra Singh,smart,0,seed,
281040,2025-12-17,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of natural harbours for the benefit of fishermen,smart,0,seed,
281042,2025-12-17,Ministry of Textiles,NICDC in association with Ministry of Textiles conducts stakeholder consultation with master developers to collaborate under PPP mode for development of PM MITRA Parks,smart,0,seed,
281050,2025-12-17,Ministry of Commerce & Industry,NICDC and Ministry of Textiles Hold Stakeholder Consultation to Explore Partnership Opportunities for PM MITRA Parks,smart,0,seed,
281092,2025-12-18,Ministry of Tribal Affairs,FUNCTIONING OF EMRS IN KERALA,smart,0,seed,
281106,2025-12-18,Ministry of Earth Science,PARLIAMENT QUESTION: MONITORING SYSTEM FOR RISK PRONE AREAS,smart,0,seed,
281119,2025-12-18,Prime Minister's Office,Prime Minister attends India-Oman Business Forum,smart,0,seed,
281121,2025-12-18,Prime Minister's Office,Text of PM’s address at the India-Oman Business Forum in Muscat,smart,0,seed,
281183,2025-12-19,Ministry of Communications,2025 Year End Review for Department of Telecommunications,smart,0,seed,
281190,2025-12-19,"Ministry of Environment, Forest and Climate Change.",Union Environment Minister Chairs Fourth High-Level Review Meeting on Delhi-NCR Air Pollution; Continuous Monthly Ministerial Reviews of finalised State Action Plans from January 2026,smart,0,seed,
281193,2025-12-19,Ministry of Tourism,Union Ministry of Tourism to Establish City-Level Convention Promotion Bureaus to Boost MICE Tourism,smart,0,seed,
281196,2025-12-19,Ministry of Heavy Industries & Public Enterprises,EV CHARGING INFRASTRUCTURE UNDER PRADHAN MANTRI E-DRIVE SCHEME,smart,0,seed,
281224,2025-12-19,Ministry of Textiles,BOOSTING RESEARCH INNOVATION AND COMPETITIVENESS IN TEXTILE SECTOR,smart,0,seed,
281278,2025-12-20,Prime Minister's Office,"Prime Minister Shri Narendra Modi inaugurates New Terminal Building of Lokapriya Gopinath Bardoloi International Airport in Guwahati, Assam",smart,0,seed,
281283,2025-12-20,Ministry of Housing and Urban Poverty Alleviation,Union Minister Shri Manohar Lal and CM Madhya Pradesh Dr Mohan Yadav inaugurates Bhopal Metro today.,smart,0,seed,
281285,2025-12-20,Ministry of Textiles,Ministry of Textiles convenes the first Coordination Committee Meeting of Textile Research Associations (TRAs).,smart,0,seed,
281286,2025-12-20,Prime Minister's Office,"English rendering of PM’s address during inauguration of Lokapriya Gopinath Bardoloi International Airport in Guwahati, Assam",smart,0,seed,
281299,2025-12-21,Ministry of Science & Technology,"From Environment Protection to Employment Creation, EVs Driving India’s Next Growth Story: Dr Jitendra Singh",smart,0,seed,
281323,2025-12-22,Ministry of Electronics & IT,Modern Technologies are playing a crucial role in generating employment: Union Minister of State Shri Jitin Prasada,smart,0,seed,
281333,2025-12-22,Ministry of Shipping,Union Minister Sarbananda Sonowal Calls for Integration of Modern Education and Spiritual Values at Krishna Guru Spiritual University Convocation,smart,0,seed,
281353,2025-12-23,PIB Headquarters,Industrial Parks Facilitating Smarter Infrastructure and Stronger Industrial Growth,smart,0,seed,
281416,2025-12-24,"Ministry of Consumer Affairs, Food & Public Distribution",National Consumer Day 2025 celebrated with the theme of “Efficient and Speedy Disposal through Digital Justice”,smart,0,seed,
281417,2025-12-24,Ministry of Coal,"Union Minister for Coal and Mines, Shri G. Kishan Reddy Reviews Rehabilitation Works Under Revised Jharia Master Plan",smart,0,seed,
281473,2025-12-26,Prime Minister's Office,PM to chair the fifth National Conference of Chief Secretaries in Delhi on 27th and 28th December,smart,0,seed,
281484,2025-12-26,Ministry of Science & Technology,India has successfully bridged tradition with modernity by preserving core civilisational values while simultaneously embracing cutting-edge technologies: Dr Jitendra Singh,smart,0,seed,
281535,2025-12-28,Prime Minister's Office,English rendering of PM’s address in the 129th Episode of ‘Mann Ki Baat’ on 28.12.2025,smart,0,seed,
281544,2025-12-28,Vice President's Secretariat,"Vice-President Shri C. P. Radhakrishnan to Visit Puducherry, Kerala and Tamil Nadu on December 29–30, 2025",smart,0,seed,
281571,2025-12-09,AYUSH,Criteria to establish new units of AIIA,smart,0,seed,
281573,2025-12-28,Prime Minister's Office,PM chairs Fifth National Conference of Chief Secretaries in Delhi,smart,0,seed,
281601,2025-12-29,Prime Minister's Office,Prime Minister shares glimpses of the 129th Episode of Mann Ki Baat,smart,0,seed,
281621,2025-12-29,Vice President's Secretariat,Vice-President emphasises the importance of preserving and passing on the legacy of freedom fighters to future generations in Puducherry,smart,0,seed,
281622,2025-12-29,Ministry of Panchayati Raj,Year End Review 2025: Ministry of Panchayati Raj,smart,0,seed,
281625,2025-12-29,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation Shri Amit Shah inaugurates the Jyoti–Bishnu International Art Centre in Guwahati, Assam",smart,0,seed,
281634,2025-12-29,Ministry of Housing and Urban Poverty Alleviation,"""Ministry of Housing and Urban Affairs: Year End Review 2025""",smart,0,seed,
281644,2025-12-30,"Ministry of Micro,Small & Medium Enterprises","Year End Review 2025: Ministry of Micro, Small & Medium Enterprises",smart,0,seed,
281651,2025-12-30,Ministry of Jal Shakti,Achievements of the Department for the calendar year 2025,smart,0,seed,
281654,2025-12-30,PIB Headquarters,Transforming India with AI,smart,0,seed,
281662,2025-12-30,Ministry of Science & Technology,"“Government of India strengthens green marine mobility: TDB-DST supports Vijai Marine Services Pvt. Ltd., Goa under Indo-Canada Collaborative Industrial R&D Programme”",smart,0,seed,
281671,2025-12-30,Ministry of Communications,TRAI releases Recommendations on ‘the Regulatory Framework for the Sale of Foreign Telecom Service Providers’ SIM/ eSIM Cards for the use in M2M/ IoT Devices Meant for Export’,smart,0,seed,
